timestamp,open,high,low,close,volume
2019-01-02,21800,21850,21100,21350,89479
2019-01-03,21400,21400,20650,20900,93073
2019-01-04,20900,21700,20750,21700,148162
2019-01-07,21900,22050,21600,22000,269358
2019-01-08,22000,22800,21750,22450,269717
2019-01-09,22250,22600,21800,22100,239415
2019-01-10,22200,22400,21800,21850,87007
2019-01-11,22100,22350,21900,22350,128856
2019-01-14,22450,22450,21850,22350,128817
2019-01-15,22350,22700,22050,22600,185994
2019-01-16,22600,22650,22150,22300,76250
2019-01-17,22100,22600,22100,22300,125683
2019-01-18,22200,22450,22150,22400,107179
2019-01-21,22200,22550,22150,22400,117437
2019-01-22,22500,22500,21900,22400,107097
2019-01-23,22300,22450,21850,22000,76943
2019-01-24,22000,22500,21900,22450,120659
2019-01-25,22200,22500,22200,22300,106491
2019-01-28,22300,22300,21800,22050,188151
2019-01-29,22050,22800,22000,22800,195102
2019-01-30,22800,22850,22200,22600,191657
2019-01-31,22500,22800,22200,22200,243044
2019-02-01,22150,23000,22050,22800,275242
2019-02-07,22800,22900,22500,22550,73595
2019-02-08,22750,22850,22400,22700,94620
2019-02-11,22700,23100,22400,22750,211768
2019-02-12,22700,23300,22650,23250,116544
2019-02-13,23250,23650,23000,23250,134475
2019-02-14,23250,23550,22850,23400,117012
2019-02-15,23200,23500,23100,23300,86423
2019-02-18,23150,23550,23050,23050,84907
2019-02-19,23050,23550,23000,23350,104058
2019-02-20,23250,23400,22800,23050,124167
2019-02-21,23050,23200,22650,23100,152238
2019-02-22,22950,23100,22800,23000,43718
2019-02-25,23000,23150,22750,23000,122814
2019-02-26,22900,22950,22500,22600,118313
2019-02-27,22450,22700,22250,22650,148495
2019-02-28,22750,22750,22100,22100,172377
2019-03-04,22250,22600,22150,22400,102382
2019-03-05,22400,22450,22150,22150,125173
2019-03-06,22250,22800,22100,22600,101184
2019-03-07,22650,22750,22450,22600,69969
2019-03-08,22600,22950,22350,22750,75058
2019-03-11,22550,22850,22500,22700,97186
2019-03-12,22650,23250,22650,23250,118975
2019-03-13,23250,23500,23050,23400,156190
2019-03-14,23200,23850,23200,23850,172987
2019-03-15,23650,24500,23350,24500,240846
2019-03-18,24400,24450,23600,23750,203339
2019-03-19,23850,24250,23600,23800,220479
2019-03-20,23850,24200,23850,24150,99162
2019-03-21,24100,24100,23500,23700,126955
2019-03-22,23700,23850,23300,23400,123145
2019-03-25,23100,23400,23000,23050,98257
2019-03-26,23050,23800,23050,23700,81355
2019-03-27,23500,24350,23500,24150,136058
2019-03-28,24150,24250,24100,24200,60887
2019-03-29,23950,24350,23850,24300,111975
2019-04-01,24350,25550,24250,25400,480325
2019-04-02,25900,26050,25050,25600,473123
2019-04-03,25600,25600,24850,25050,202017
2019-04-04,25050,25050,24250,24650,285909
2019-04-05,24650,24700,24300,24450,151164
2019-04-08,24600,24750,24300,24650,157307
2019-04-09,24650,24650,23850,23900,339032
2019-04-10,23850,24050,23350,23650,267013
2019-04-11,23800,24050,23700,24050,239081
2019-04-12,23700,24000,23650,23900,227450
2019-04-15,23950,24150,23600,24100,237905
2019-04-16,24100,24100,23800,23900,129894
2019-04-17,23800,24100,23700,23850,115814
2019-04-18,23800,24000,23600,23750,176069
2019-04-19,23650,23800,23200,23250,208237
2019-04-22,23400,23500,23000,23500,137276
2019-04-23,23550,23700,23150,23450,130222
2019-04-24,23550,23850,23400,23850,127584
2019-04-25,23700,24000,23500,23600,117202
2019-04-26,23750,23750,23400,23400,122186
2019-04-29,23400,23650,23300,23500,48255
2019-04-30,23400,23800,23200,23800,141139
2019-05-02,23600,23800,23350,23800,107290
2019-05-03,23800,23800,23450,23650,42894
2019-05-07,23500,24050,23300,23700,149107
2019-05-08,23700,24100,23550,24100,130686
2019-05-09,24000,24100,23500,23550,159884
2019-05-10,23300,23800,23250,23600,177926
2019-05-13,23750,23750,22150,22650,416851
2019-05-14,22300,22750,21750,22400,460935
2019-05-15,22400,22550,22000,22050,208516
2019-05-16,22200,22350,22000,22150,130772
2019-05-17,22200,22500,21800,21850,98594
2019-05-20,21700,22250,21700,22100,125283
2019-05-21,22100,22250,21900,22200,66822
2019-05-22,22300,22300,21900,21950,155319
2019-05-23,21950,22250,21600,22000,79594
2019-05-24,22150,22150,21700,21750,111609
2019-05-27,21950,22150,21750,22100,52056
2019-05-28,22250,22300,21550,21550,139777
2019-05-29,21650,21950,21450,21500,99803
2019-05-30,21550,21600,20900,21350,108949
2019-05-31,21100,21850,21100,21850,98961
2019-06-03,21600,22150,21600,21900,72048
2019-06-04,21750,22500,21750,22250,95817
2019-06-05,22150,22350,21950,22050,115829
2019-06-07,22100,22100,20800,21000,264930
2019-06-10,21100,21450,20900,21350,296590
2019-06-11,21400,21950,21000,21950,156672
2019-06-12,21900,21950,21600,21750,86658
2019-06-13,21600,22250,21550,22250,132460
2019-06-14,22250,22400,21800,21800,163228
2019-06-17,21950,22100,21350,21450,115924
2019-06-18,21350,22000,21350,21500,170160
2019-06-19,21550,21900,21350,21350,88515
2019-06-20,21400,21500,21000,21050,141740
2019-06-21,21100,21200,20850,21000,187769
2019-06-24,21050,21200,20950,21050,93988
2019-06-25,20900,21150,20450,20600,288801
2019-06-26,20550,20800,20450,20650,99473
2019-06-27,20600,20800,20450,20750,172695
2019-06-28,20700,20900,20400,20700,138241
2019-07-01,20800,20850,20400,20400,79436
2019-07-02,20400,20450,19800,19850,231981
2019-07-03,19800,19900,19450,19500,304935
2019-07-04,19550,20050,19500,19850,125903
2019-07-05,19650,20050,19600,19750,74540
2019-07-08,19750,19900,19450,19700,91880
2019-07-09,19750,19900,19450,19550,108111
2019-07-10,19450,19550,19350,19500,193561
2019-07-11,19650,19650,19350,19450,93165
2019-07-12,19550,19700,19350,19450,105270
2019-07-15,19450,19700,19400,19450,88548
2019-07-16,19550,19550,19150,19500,101003
2019-07-17,19450,19700,19400,19600,87003
2019-07-18,19400,19900,19100,19800,249244
2019-07-19,19800,19800,19450,19650,219981
2019-07-22,19650,19850,19500,19550,121232
2019-07-23,19650,20150,19500,19800,167893
2019-07-24,19700,20300,19600,19650,203691
2019-07-25,19650,19950,19450,19650,153132
2019-07-26,19650,20000,19400,19900,196879
2019-07-29,20100,20100,19250,19450,181598
2019-07-30,19250,19600,19250,19350,46636
2019-07-31,19300,19900,19200,19900,147715
2019-08-01,19800,20000,19550,20000,76317
2019-08-02,19950,19950,19250,19650,162973
2019-08-05,19750,19800,19250,19300,163657
2019-08-06,19300,19450,18700,19250,158408
2019-08-07,19100,19450,18700,18750,186411
2019-08-08,18900,19450,18600,19450,98273
2019-08-09,19400,19400,18900,19000,126550
2019-08-12,19000,19250,18650,18800,195510
2019-08-13,18800,19300,18800,18850,287708
2019-08-14,19000,19050,18300,18350,196120
2019-08-16,18350,18400,17850,18200,242238
2019-08-19,18400,18650,18300,18550,140003
2019-08-20,18400,18450,17850,18250,390522
2019-08-21,18250,18550,18100,18500,99450
2019-08-22,18600,19300,18350,19250,197748
2019-08-23,19250,19250,18350,18450,147312
2019-08-26,18100,18350,18050,18100,135003
2019-08-27,18200,18200,17700,17700,166883
2019-08-28,17750,18000,17700,17800,90604
2019-08-29,17900,18000,17750,17800,84443
2019-08-30,17800,18050,17800,17950,80032
2019-09-02,18000,18400,17950,18150,86224
2019-09-03,18100,18400,18050,18100,64735
2019-09-04,18150,18150,17950,18050,69766
2019-09-05,18150,18200,18000,18000,76636
2019-09-06,18100,18100,17950,18050,63783
2019-09-09,18050,18300,18050,18100,134162
2019-09-10,18200,19200,18000,18950,317077
2019-09-11,18900,19200,18600,18850,72274
2019-09-16,19200,19250,18900,19150,88928
2019-09-17,19300,19300,18750,18800,171479
2019-09-18,18850,19200,18750,19050,149772
2019-09-19,19250,19250,18750,18800,91755
2019-09-20,18800,18850,18500,18700,169822
2019-09-23,18500,19050,18500,18900,88419
2019-09-24,18900,19050,18750,18800,61629
2019-09-25,18800,19300,18700,18800,459755
2019-09-26,19050,19950,19050,19500,411604
2019-09-27,19250,19700,19100,19100,186268
2019-09-30,19100,19200,19000,19100,58793
2019-10-01,19100,19300,19050,19050,111651
2019-10-02,19000,19100,18400,18450,294811
2019-10-04,18450,18650,18150,18200,144387
2019-10-07,18200,18350,17950,18000,101218
2019-10-08,18050,18350,18000,18050,76807
2019-10-10,18050,18350,18000,18300,140459
2019-10-11,18300,19050,18200,18850,336406
2019-10-14,18800,19450,18800,19150,231440
2019-10-15,19250,19350,18800,18950,178487
2019-10-16,19000,19600,18950,19400,196397
2019-10-17,19250,19350,19050,19100,83687
2019-10-18,19250,19250,18500,18750,378517
2019-10-21,18800,19100,18700,19050,71958
2019-10-22,19050,19150,18600,18750,206255
2019-10-23,18650,18900,18550,18700,90198
2019-10-24,18750,19000,18600,18900,72664
2019-10-25,18950,19000,18700,18800,49579
2019-10-28,18900,18950,18350,18350,175058
2019-10-29,18450,18750,18350,18550,109750
2019-10-30,18650,18750,18350,18400,61495
2019-10-31,18250,18500,18250,18500,126258
2019-11-01,18500,18700,18350,18500,75332
2019-11-04,18500,18900,18400,18900,101590
2019-11-05,18800,19150,18750,18950,134841
2019-11-06,19100,19100,18700,18700,41391
2019-11-07,18800,19350,18650,19150,163237
2019-11-08,19300,19400,19050,19200,151735
2019-11-11,19300,19700,19100,19550,143390
2019-11-12,19550,19750,19350,19600,146382
2019-11-13,19600,19750,19100,19200,101577
2019-11-14,19400,19500,18600,18750,151133
2019-11-15,18750,19200,18750,18750,182793
2019-11-18,18950,18950,18600,18650,94643
2019-11-19,18700,18800,18600,18800,113436
2019-11-20,18700,18700,18400,18500,148026
2019-11-21,18400,18750,18400,18750,127532
2019-11-22,18750,18900,18400,18400,164579
2019-11-25,18400,18600,18050,18200,347879
2019-11-26,18200,18400,18050,18050,338635
2019-11-27,18200,18700,18150,18400,176417
2019-11-28,18450,18650,18300,18450,44028
2019-11-29,18450,18600,18150,18400,154224
2019-12-02,18550,18650,18300,18350,71042
2019-12-03,18350,18450,18100,18350,86999
2019-12-04,18300,18450,18150,18450,132093
2019-12-05,18450,18600,18350,18450,116098
2019-12-06,18350,18600,17850,18150,508787
2019-12-09,18300,18450,18100,18350,170928
2019-12-10,18350,18400,18000,18150,124811
2019-12-11,18150,18250,18000,18200,221684
2019-12-12,18300,18700,18250,18650,257583
2019-12-13,18700,18750,18300,18500,229335
2019-12-16,18500,18600,18200,18550,216654
2019-12-17,18350,18600,18300,18550,142272
2019-12-18,18550,18850,18350,18850,131995
2019-12-19,18800,18800,18600,18750,75450
2019-12-20,18800,18800,18250,18450,309074
2019-12-23,18400,18550,18250,18350,142529
2019-12-24,18400,18550,18350,18450,163750
2019-12-26,18500,18650,18450,18600,186493
2019-12-27,17900,18150,17850,18050,258207
2019-12-30,18050,18100,17850,17850,99824
2020-01-02,17950,17950,17050,17150,301623
2020-01-03,17150,17350,16950,17150,300473
2020-01-06,16950,17000,16500,16650,273673
2020-01-07,16600,16800,16200,16400,353788
2020-01-08,16250,16350,15850,16150,272689
2020-01-09,16150,16600,16050,16350,336682
2020-01-10,16250,16850,16250,16500,164295
2020-01-13,16400,16500,16200,16400,221954
2020-01-14,16400,16650,16050,16450,138915
2020-01-15,16450,16650,16350,16450,59458
2020-01-16,16400,16550,16300,16450,141345
2020-01-17,16500,16600,16450,16600,91813
2020-01-20,16700,16700,16350,16400,134099
2020-01-21,16400,16500,16250,16300,97514
2020-01-22,16350,16350,15950,16150,150339
2020-01-23,16200,16200,15800,15850,143531
2020-01-28,15700,15700,15200,15350,127458
2020-01-29,15350,15650,15250,15400,107471
2020-01-30,15350,15650,15350,15450,166451
2020-01-31,15700,15850,15300,15700,205876
2020-02-03,15650,15650,15100,15450,131509
2020-02-04,15450,15650,15300,15450,163815
2020-02-05,15550,15700,15350,15600,177322
2020-02-06,15650,16000,15650,15700,181048
2020-02-07,15850,16000,15700,15850,127419
2020-02-10,15850,15900,15600,15600,52917
2020-02-11,15650,15800,15500,15600,101222
2020-02-12,15700,15800,15350,15650,180219
2020-02-13,15600,15650,15200,15450,220522
2020-02-14,15400,15500,15250,15250,144399
2020-02-17,15200,15300,15100,15200,91022
2020-02-18,15200,15250,15000,15150,94785
2020-02-19,15150,15150,14700,14700,172718
2020-02-20,14800,15100,14650,14750,131826
2020-02-21,15100,15200,14700,14750,215980
2020-02-24,14700,15050,14250,14800,243610
2020-02-25,14700,15050,14550,14750,189977
2020-02-26,14750,15100,14600,14900,152676
2020-02-27,14900,15200,14800,14950,415644
2020-02-28,14900,14900,14550,14700,266701
2020-03-02,14650,15050,14650,15000,152941
2020-03-03,15300,15300,14650,14650,165711
2020-03-04,14550,14800,14550,14800,102446
2020-03-05,14900,15000,14600,14800,141780
2020-03-06,14850,14900,14650,14650,222683
2020-03-09,14650,14650,14050,14250,169565
2020-03-10,13850,13950,13500,13750,477414
2020-03-11,13800,14250,13700,13800,226454
2020-03-12,13950,14000,13100,13300,345016
2020-03-13,12050,13150,11800,12900,469164
2020-03-16,12750,13000,12200,12700,298034
2020-03-17,11900,12500,11700,12000,319127
2020-03-18,11950,12200,11600,11600,187552
2020-03-19,11400,11550,8500,9180,780973
2020-03-20,8940,9900,8940,9900,596347
2020-03-23,9090,9800,9070,9450,397366
2020-03-24,9480,9790,9380,9700,300160
2020-03-25,9940,10450,9940,10300,307937
2020-03-26,10450,11850,10400,11200,370283
2020-03-27,11750,12300,11500,11650,206366
2020-03-30,11500,11750,11000,11600,176588
2020-03-31,11850,12250,11850,12200,203185
2020-04-01,12000,12500,11950,12000,202644
2020-04-02,12000,12500,11850,12500,177522
2020-04-03,12450,12750,12250,12250,173363
2020-04-06,12250,12500,12200,12300,145851
2020-04-07,12450,12600,12250,12300,202482
2020-04-08,12350,12450,12150,12400,140187
2020-04-09,12550,12650,12300,12400,124464
2020-04-10,12400,14200,12350,13600,863824
2020-04-13,13400,13850,13300,13550,235579
2020-04-14,13550,14000,13550,13850,130362
2020-04-16,13800,14150,13600,13700,118756
2020-04-17,13800,14100,13750,13750,97294
2020-04-20,13800,13950,13650,13750,93137
2020-04-21,13850,13900,13400,13900,150956
2020-04-22,13700,13950,13550,13700,167665
2020-04-23,13800,13900,13600,13700,147541
2020-04-24,13700,14400,13500,13600,386318
2020-04-27,13700,13950,13600,13800,198490
2020-04-28,13850,14250,13800,13900,124516
2020-04-29,14000,14250,13850,13850,196759
2020-05-04,13800,13850,13500,13550,147990
2020-05-06,13650,13800,13500,13550,124811
2020-05-07,13550,13650,13500,13600,103306
2020-05-08,13600,13900,13600,13750,127650
2020-05-11,13800,14000,13700,13750,209823
2020-05-12,13850,13900,13550,13600,110047
2020-05-13,13550,13950,13500,13800,129525
2020-05-14,13750,14200,13650,14200,286888
2020-05-15,15000,15350,14200,14800,646630
2020-05-18,14800,15100,14400,14950,316063
2020-05-19,15150,15400,14700,14700,242031
2020-05-20,14700,15300,14600,15050,269605
2020-05-21,15100,15400,14850,15100,263394
2020-05-22,15300,15500,15100,15150,307248
2020-05-25,15300,15350,15050,15050,106938
2020-05-26,15100,15300,15000,15050,85452
2020-05-27,15150,15550,15000,15000,198643
2020-05-28,15050,15200,14650,14700,71930
2020-05-29,14650,14900,14550,14550,87551
2020-06-01,14550,14900,14550,14800,106298
2020-06-02,14800,15100,14700,15000,88404
2020-06-03,15200,15300,14950,15000,266227
2020-06-04,15200,15250,14900,15050,156688
2020-06-05,14950,15000,14700,14800,186683
2020-06-08,14950,15000,14500,14550,160841
2020-06-09,14550,14900,14450,14850,174250
2020-06-10,14750,14950,14750,14800,105092
2020-06-11,14850,14850,14050,14750,311521
2020-06-12,14050,14300,13900,14300,244187
2020-06-15,14300,14300,13350,13350,185654
2020-06-16,13750,14350,13600,14200,190591
2020-06-17,14200,14400,13900,14250,86940
2020-06-18,14150,14250,13850,13900,162108
2020-06-19,13950,14050,13600,13750,168372
2020-06-22,13700,13800,13600,13650,62883
2020-06-23,13700,13800,13550,13550,102542
2020-06-24,13500,13650,13500,13600,97319
2020-06-25,13500,13550,13300,13350,151459
2020-06-26,13450,13500,13050,13050,108784
2020-06-29,13000,13050,12650,12750,124188
2020-06-30,12850,12900,12650,12650,296327
2020-07-01,12750,12950,12600,12650,147716
2020-07-02,12800,13000,12750,12900,126332
2020-07-03,13000,13250,12800,12950,83491
2020-07-06,12950,13400,12850,12950,147327
2020-07-07,13100,13200,12650,12700,202225
2020-07-08,12700,12900,12650,12750,87075
2020-07-09,12850,13000,12700,12750,281374
2020-07-10,12700,12750,12400,12450,181855
2020-07-13,12600,12700,12400,12450,211716
2020-07-14,12500,12700,12400,12600,107527
2020-07-15,12650,12850,12600,12700,136823
2020-07-16,12650,12950,12650,12900,105742
2020-07-17,12950,13150,12950,13000,127157
2020-07-20,13050,13300,12650,12750,162971
2020-07-21,12750,12950,12650,12850,137738
2020-07-22,12850,13350,12800,13200,266771
2020-07-23,13400,13450,12850,12850,222114
2020-07-24,12800,12900,12700,12800,172252
2020-07-27,12800,13000,12700,12700,147686
2020-07-28,12700,12850,12600,12650,165342
2020-07-29,12700,12800,12550,12700,151865
2020-07-30,12750,12800,12550,12600,175756
2020-07-31,12650,12650,12300,12400,239948
2020-08-03,12350,12400,12100,12150,140179
2020-08-04,12150,12550,12150,12550,114934
2020-08-05,12550,12600,12450,12550,76863
2020-08-06,12600,12800,12400,12600,112791
2020-08-07,12650,12650,12400,12400,78443
2020-08-10,12350,12550,12200,12550,148154
2020-08-11,12550,13100,12550,12950,266287
2020-08-12,12950,13500,12950,13450,323389
2020-08-13,13950,14100,13500,13550,401788
2020-08-14,13800,13800,13150,13400,229368
2020-08-18,13350,13350,12850,12850,255530
2020-08-19,13000,13150,12850,12850,218121
2020-08-20,12800,12800,12250,12350,260369
2020-08-21,12400,12850,12300,12700,141015
2020-08-24,12550,12800,12450,12550,86753
2020-08-25,12650,13000,12650,12900,208578
2020-08-26,12900,12900,12650,12700,132689
2020-08-27,12650,12800,12500,12650,96650
2020-08-28,12800,12800,12550,12800,148749
2020-08-31,12750,12900,12600,12750,181382
2020-09-01,12650,12800,12650,12650,219244
2020-09-02,12700,12750,12600,12650,94559
2020-09-03,12700,12850,12650,12750,84645
2020-09-04,12500,12650,12450,12600,148463
2020-09-07,12700,12800,12550,12700,157583
2020-09-08,12900,12950,12700,12700,199642
2020-09-09,12600,12750,12550,12650,184673
2020-09-10,12700,12800,12650,12700,130461
2020-09-11,12700,12850,12600,12800,180278
2020-09-14,12800,13100,12800,13000,217829
2020-09-15,13200,13300,12950,13200,186450
