timestamp,open,high,low,close,volume
2019-01-02,20600,20600,19550,19550,27384
2019-01-03,19650,20000,19300,19350,16276
2019-01-04,19200,19450,18750,19300,15331
2019-01-07,19450,20000,19350,19700,17464
2019-01-08,19850,19950,19700,19750,6749
2019-01-09,19950,20000,19550,19950,9430
2019-01-10,19800,20050,19600,19600,12603
2019-01-11,19600,20000,19550,20000,12368
2019-01-14,20000,20050,19600,19800,10712
2019-01-15,19600,19850,19550,19650,8020
2019-01-16,19600,19750,19400,19500,9354
2019-01-17,19450,19700,19150,19550,14711
2019-01-18,19650,19700,19400,19550,8023
2019-01-21,19550,19700,19300,19700,9158
2019-01-22,19500,19550,19150,19350,9778
2019-01-23,19100,19300,18950,19050,10305
2019-01-24,19000,19300,18850,19200,11821
2019-01-25,19200,19350,19000,19150,6916
2019-01-28,19150,19300,18950,19000,12963
2019-01-29,19000,19050,18800,18900,9741
2019-01-30,18800,19200,18800,19150,8912
2019-01-31,19150,19150,19000,19150,5711
2019-02-01,19000,19100,18850,18950,9494
2019-02-07,19000,19100,18850,19000,9475
2019-02-08,19000,19100,18850,18900,6402
2019-02-11,19200,19200,18800,19100,6388
2019-02-12,19100,19300,19050,19300,16762
2019-02-13,19300,19650,19200,19400,15020
2019-02-14,19400,19450,19100,19450,17974
2019-02-15,19300,19500,19200,19300,9207
2019-02-18,19300,19500,19200,19450,5933
2019-02-19,19450,19650,19200,19650,12177
2019-02-20,19700,20300,19400,20150,19479
2019-02-21,20150,20300,19750,20000,10365
2019-02-22,19950,20200,19650,19900,8869
2019-02-25,19900,20050,19650,19950,3889
2019-02-26,20000,20150,19700,19800,6040
2019-02-27,19900,20050,19600,19900,7692
2019-02-28,19900,20350,19600,19600,16689
2019-03-04,19550,20050,19550,19900,7642
2019-03-05,19900,20050,19650,19950,5421
2019-03-06,19950,20000,19650,19650,6183
2019-03-07,19800,19950,19200,19200,9230
2019-03-08,19200,19550,19000,19100,9427
2019-03-11,19100,19400,18600,18600,17334
2019-03-12,18800,19350,18650,19300,9090
2019-03-13,19150,19300,19000,19050,4326
2019-03-14,19050,19800,19050,19100,11658
2019-03-15,19100,19650,19100,19150,4953
2019-03-18,19200,19450,18950,19300,5783
2019-03-19,19350,19450,19150,19150,3317
2019-03-20,19150,19150,18750,18900,10986
2019-03-21,19100,19100,18650,18650,8128
2019-03-22,18800,19050,18700,18950,6284
2019-03-25,18700,18800,18500,18550,6898
2019-03-26,18550,19000,18400,18450,6070
2019-03-27,18350,18600,18200,18400,9222
2019-03-28,18600,18600,18200,18250,5560
2019-03-29,18400,18400,18050,18400,9310
2019-04-01,18550,18900,18500,18700,7273
2019-04-02,18800,18900,18250,18600,3966
2019-04-03,18600,18900,18450,18850,7252
2019-04-04,18850,19150,18800,19050,9243
2019-04-05,18900,19100,18700,18950,7103
2019-04-08,18950,19000,18700,18950,13030
2019-04-09,18800,19000,18700,18850,8209
2019-04-10,18700,19000,18500,18950,10282
2019-04-11,18950,19100,18900,19100,7866
2019-04-12,19100,19500,19000,19400,17907
2019-04-15,19650,19650,19150,19200,15790
2019-04-16,19400,19400,18850,19050,9211
2019-04-17,19050,19200,18950,19050,7138
2019-04-18,18850,19200,18650,19100,13918
2019-04-19,18700,18700,18300,18500,47643
2019-04-22,18450,18500,18200,18200,25040
2019-04-23,18200,18350,18150,18250,16327
2019-04-24,18250,18500,18050,18150,13973
2019-04-25,18150,18300,17900,17950,20101
2019-04-26,18000,18050,17650,17800,24635
2019-04-29,17800,17850,17600,17850,14532
2019-04-30,19000,19200,18250,18250,110736
2019-05-02,18250,18600,18000,18400,24050
2019-05-03,18400,18550,18250,18300,8297
2019-05-07,18300,18300,17700,17850,24796
2019-05-08,17800,18100,17600,17800,9868
2019-05-09,17850,18000,17300,17600,23826
2019-05-10,17700,17800,17250,17500,15719
2019-05-13,17500,17700,17100,17400,18795
2019-05-14,17050,17600,16900,17150,33859
2019-05-15,17200,17450,16850,17450,19596
2019-05-16,17550,17550,17050,17250,12346
2019-05-17,17350,18000,17050,17350,38941
2019-05-20,17850,17850,16900,16900,15707
2019-05-21,17100,17150,16750,16900,14665
2019-05-22,16900,17000,16600,16700,14073
2019-05-23,16700,16700,16250,16350,18923
2019-05-24,16400,16450,15800,16000,15706
2019-05-27,16150,16150,15800,16000,7996
2019-05-28,16000,16100,15850,15900,8543
2019-05-29,16050,16200,15800,15800,4609
2019-05-30,15800,18400,15800,18050,163850
2019-05-31,17900,18500,17550,18300,44079
2019-06-03,18650,18650,17500,17900,32046
2019-06-04,17750,18500,17750,18400,23638
2019-06-05,18450,18450,17900,18300,27016
2019-06-07,18500,18600,18300,18500,17253
2019-06-10,18650,18700,18200,18350,22215
2019-06-11,18200,18800,18200,18600,26185
2019-06-12,18400,18600,17700,17850,42920
2019-06-13,17750,18150,17200,17200,51959
2019-06-14,17400,17500,16700,16750,42730
2019-06-17,16800,17100,16700,17050,17263
2019-06-18,17050,17350,17000,17150,14407
2019-06-19,17350,17650,17150,17450,17714
2019-06-20,17300,17600,17200,17500,15006
2019-06-21,17500,17600,17300,17400,12349
2019-06-24,17400,17900,17350,17900,25489
2019-06-25,17900,18000,17550,17850,19110
2019-06-26,17850,17850,17250,17500,33360
2019-06-27,17350,17750,17350,17550,14538
2019-06-28,17700,18100,17300,17400,44382
2019-07-01,17650,17700,17400,17700,7158
2019-07-02,17350,17700,17350,17600,9723
2019-07-03,17600,17600,17300,17450,16748
2019-07-04,17500,17600,17300,17550,8708
2019-07-05,17500,17800,17350,17800,8409
2019-07-08,17800,17800,17300,17300,9298
2019-07-09,17450,17850,17050,17500,49089
2019-07-10,18200,18900,18100,18400,97230
2019-07-11,18350,18550,17850,17900,22403
2019-07-12,17900,18400,17700,18000,48069
2019-07-15,18200,19350,18150,18950,263003
2019-07-16,19100,19700,18500,18650,162424
2019-07-17,19000,19500,18800,19150,109162
2019-07-18,19050,19700,18850,19200,68222
2019-07-19,20050,20500,19600,19850,128824
2019-07-22,19850,19850,19200,19650,60471
2019-07-23,19550,20500,19450,20200,117080
2019-07-24,20400,21200,19650,20050,120669
2019-07-25,20150,20350,19550,19650,69183
2019-07-26,19600,19850,19000,19300,53473
2019-07-29,19250,19250,17350,17900,87527
2019-07-30,17900,18600,17750,17900,38385
2019-07-31,17900,18500,17200,18450,72998
2019-08-01,18350,18350,17800,18000,24612
2019-08-02,17500,18200,17450,18100,49560
2019-08-05,17800,18750,17350,17550,139883
2019-08-06,16850,18150,16750,16900,86537
2019-08-07,17500,17500,16600,17250,43335
2019-08-08,17250,17300,16800,17100,54221
2019-08-09,17250,17300,16850,17150,37630
2019-08-12,17150,17450,16850,17450,23454
2019-08-13,17150,17400,17000,17200,19469
2019-08-14,17500,19200,16850,18000,147832
2019-08-16,17700,19000,17700,18950,97128
2019-08-19,18800,19250,18150,18250,83530
2019-08-20,18450,18850,18300,18750,49422
2019-08-21,18950,19900,18800,19700,127109
2019-08-22,19600,19800,18850,19200,83953
2019-08-23,18900,19450,18650,19350,53922
2019-08-26,18850,19000,18350,18450,53131
2019-08-27,18900,19100,18500,18700,27901
2019-08-28,18800,19250,18550,19150,39298
2019-08-29,19350,19450,18850,19350,48156
2019-08-30,19500,20000,19200,19950,59005
2019-09-02,19900,20900,19550,20250,59282
2019-09-03,20000,20600,19700,19900,34389
2019-09-04,20000,20600,19700,19950,79776
2019-09-05,20050,20600,20000,20550,40370
2019-09-06,20650,20700,20050,20250,26781
2019-09-09,20250,20300,19650,19650,25989
2019-09-10,20600,20600,19600,20000,44622
2019-09-11,20250,20500,19950,20100,26497
2019-09-16,20300,20450,20000,20250,24042
2019-09-17,20400,20400,19850,19950,29957
2019-09-18,20100,20600,20050,20500,44065
2019-09-19,20800,21500,20500,21100,87085
2019-09-20,21350,21400,20850,21300,21080
2019-09-23,21000,21150,20450,20450,49178
2019-09-24,20400,20800,20100,20400,21250
2019-09-25,20800,20800,19500,19600,52558
2019-09-26,19900,20100,19300,19700,37011
2019-09-27,19700,20000,19400,19850,23223
2019-09-30,20200,20200,19500,19800,20057
2019-10-01,19650,19900,19500,19700,20373
2019-10-02,19500,19800,19350,19350,21300
2019-10-04,19250,19450,18850,18850,33310
2019-10-07,19050,19050,18150,18300,53527
2019-10-08,18200,18500,18050,18400,41547
2019-10-10,18350,18600,18200,18600,24306
2019-10-11,18650,18700,18250,18300,32100
2019-10-14,18450,18700,18350,18550,18958
2019-10-15,18500,18750,18400,18500,11780
2019-10-16,18400,18850,18350,18650,17750
2019-10-17,18600,18850,18550,18700,13182
2019-10-18,18900,18900,18400,18500,26383
2019-10-21,18500,18600,18300,18400,17356
2019-10-22,18400,18600,18250,18450,20781
2019-10-23,18350,18450,18050,18150,20929
2019-10-24,18300,18350,18150,18350,14813
2019-10-25,18500,18500,18250,18350,8739
2019-10-28,18350,18650,18300,18450,14100
2019-10-29,18650,18650,18200,18250,13306
2019-10-30,18200,18400,17950,18300,18793
