timestamp,open,high,low,close,volume
2019-01-02,1890,1900,1865,1900,3005
2019-01-03,1900,1910,1880,1910,1488
2019-01-04,1900,1900,1850,1895,10538
2019-01-07,1925,1950,1890,1950,4846
2019-01-08,1944,1950,1930,1945,786
2019-01-09,1940,1995,1940,1985,5485
2019-01-10,1990,1995,1945,1980,3823
2019-01-11,1980,2060,1980,1995,6741
2019-01-14,2015,2100,2000,2100,15652
2019-01-15,2090,2120,2075,2105,8105
2019-01-16,2100,2115,2090,2090,2282
2019-01-17,2100,2115,2090,2115,2514
2019-01-18,2125,2155,2085,2130,5990
2019-01-21,2095,2135,2095,2135,1397
2019-01-22,2135,2135,2120,2135,1293
2019-01-23,2130,2130,2080,2110,3248
2019-01-24,2110,2125,2075,2100,6210
2019-01-25,2100,2115,2070,2100,3655
2019-01-28,2130,2130,2085,2100,522
2019-01-29,2100,2120,2030,2060,4903
2019-01-30,2050,2115,1990,2010,12411
2019-01-31,2045,2045,1995,2010,1780
2019-02-01,2025,2025,1995,2000,2905
2019-02-07,2000,2010,1975,2000,2084
2019-02-08,2000,2045,1985,2000,3338
2019-02-11,2000,2025,1965,2000,5437
2019-02-12,1995,2010,1945,1950,14396
2019-02-13,1960,1960,1930,1940,7953
2019-02-14,1950,1965,1935,1940,6681
2019-02-15,1940,1965,1930,1955,5756
2019-02-18,1955,1990,1955,1990,2832
2019-02-19,1985,1990,1954,1975,5663
2019-02-20,1975,2025,1965,2000,2668
2019-02-21,2000,2014,1990,2015,3981
2019-02-22,2015,2025,2000,2020,3228
2019-02-25,2035,2050,2024,2045,4980
2019-02-26,2045,2050,2025,2050,4049
2019-02-27,2035,2075,2035,2070,3335
2019-02-28,2065,2075,2040,2040,5454
2019-03-04,2040,2080,2040,2070,8332
2019-03-05,2080,2155,2055,2155,13383
2019-03-06,2160,2190,2130,2165,6123
2019-03-07,2140,2180,2125,2150,2918
2019-03-08,2150,2150,2095,2140,5232
2019-03-11,2140,2140,2120,2140,1076
2019-03-12,2155,2160,2115,2150,2800
2019-03-13,2170,2170,2115,2130,1831
2019-03-14,2130,2175,2115,2170,2223
2019-03-15,2145,2190,2140,2190,2805
2019-03-18,2165,2175,2130,2175,2417
2019-03-19,2150,2150,2130,2150,1677
2019-03-20,2170,2190,2135,2170,2774
2019-03-21,2170,2170,2135,2155,873
2019-03-22,2120,2125,2085,2120,10347
2019-03-25,2120,2130,2050,2105,3821
2019-03-26,2100,2125,2080,2105,2821
2019-03-27,2075,2120,2075,2115,1666
2019-03-28,2115,2125,2060,2100,4170
2019-03-29,2060,2125,2055,2125,8077
2019-04-01,2125,2155,2080,2090,3953
2019-04-02,2090,2095,2065,2080,5576
2019-04-03,2080,2095,2055,2090,2653
2019-04-04,2085,2085,2060,2080,1443
2019-04-05,2080,2090,2060,2075,3639
2019-04-08,2075,2120,2070,2100,3359
2019-04-09,2095,2095,2070,2080,1612
2019-04-10,2080,2080,2050,2070,4180
2019-04-11,2070,2070,2050,2060,4326
2019-04-12,2060,2075,2040,2055,3947
2019-04-15,2070,2085,2045,2055,10479
2019-04-16,2055,2065,2050,2055,1657
2019-04-17,2060,2085,2045,2050,5492
2019-04-18,2050,2075,2015,2050,7711
2019-04-19,2050,2065,2025,2040,4168
2019-04-22,2045,2060,2030,2040,1983
2019-04-23,2044,2475,2035,2205,504228
2019-04-24,2230,2250,2145,2170,156631
2019-04-25,2130,2135,2070,2075,51615
2019-04-26,2070,2085,2045,2055,16225
2019-04-29,2055,2085,2044,2065,27526
2019-04-30,2090,2095,2055,2065,22430
2019-05-02,2065,2080,2050,2070,8817
2019-05-03,2050,2085,2050,2085,12068
2019-05-07,2070,2105,2055,2090,11767
2019-05-08,2090,2105,2065,2090,7194
2019-05-09,2090,2155,2060,2085,42305
2019-05-10,2110,2110,2004,2025,29513
2019-05-13,2024,2024,1980,2005,10199
2019-05-14,2070,2190,2005,2035,39278
2019-05-15,2035,2060,1990,2025,6853
2019-05-16,2034,2040,1994,2015,11210
2019-05-17,2014,2014,1994,1995,5430
2019-05-20,1994,2020,1960,2015,9328
2019-05-21,2020,2020,1980,1995,5632
2019-05-22,1994,2025,1974,2015,5477
2019-05-23,1985,2030,1980,2030,5265
2019-05-24,2000,2070,1985,2070,2119
2019-05-27,2024,2070,2004,2045,4423
2019-05-28,2040,2060,2015,2030,3498
2019-05-29,2015,2040,1990,2030,2772
2019-05-30,2045,2050,1994,2015,8625
2019-05-31,2030,2035,2000,2000,12717
2019-06-03,1985,2020,1960,2020,4775
2019-06-04,2020,2025,2000,2015,1613
2019-06-05,2005,2020,1990,2000,7271
2019-06-07,2005,2015,1995,2010,3573
2019-06-10,2010,2025,2010,2015,1694
2019-06-11,2015,2055,2000,2050,12063
2019-06-12,2050,2050,2020,2040,3549
2019-06-13,2040,2110,2030,2105,17471
2019-06-14,2105,2110,2090,2105,3812
2019-06-17,2105,2180,2080,2170,18135
2019-06-18,2170,2215,2155,2175,26799
2019-06-19,2180,2185,2150,2180,7983
2019-06-20,2180,2185,2155,2185,5476
2019-06-21,2170,2190,2160,2185,3697
2019-06-24,2135,2190,2135,2190,4953
2019-06-25,2165,2210,2165,2195,8705
2019-06-26,2195,2205,2175,2195,2876
2019-06-27,2185,2235,2185,2200,7275
2019-06-28,2200,2220,2190,2205,3607
2019-07-01,2195,2220,2175,2210,4192
2019-07-02,2195,2205,2175,2200,2463
2019-07-03,2180,2210,2135,2190,5737
2019-07-04,2160,2195,2160,2190,880
2019-07-05,2195,2195,2160,2195,1560
2019-07-08,2190,2190,2120,2160,1920
2019-07-09,2145,2160,2080,2080,4660
2019-07-10,2095,2115,2070,2100,1887
2019-07-11,2105,2105,2055,2090,4722
2019-07-12,2090,2115,2055,2085,3940
2019-07-15,2085,2090,2030,2085,4717
2019-07-16,2085,2085,2035,2045,2893
2019-07-17,2044,2044,2010,2025,2359
2019-07-18,2025,2050,2005,2030,2529
2019-07-19,2030,2050,1995,2020,15229
2019-07-22,2030,2030,1975,1980,10749
2019-07-23,1980,1984,1964,1965,6557
2019-07-24,1980,1980,1960,1960,2955
2019-07-25,1960,1965,1925,1940,5846
2019-07-26,1920,2065,1905,1980,7566
2019-07-29,1980,2020,1920,1990,5842
2019-07-30,1985,2040,1970,1990,20499
2019-07-31,1950,2034,1950,1975,1790
2019-08-01,1975,2020,1975,2005,965
2019-08-02,2005,2005,1950,1950,4230
2019-08-05,1950,1974,1830,1875,15007
2019-08-06,1800,1880,1760,1780,16687
2019-08-07,1770,1805,1765,1780,4774
2019-08-08,1795,1805,1765,1780,5107
2019-08-09,1785,1874,1785,1835,12883
2019-08-12,1840,1875,1825,1840,3168
2019-08-13,1860,1890,1770,1780,21954
2019-08-14,1785,1815,1770,1810,13119
2019-08-16,1810,1820,1765,1820,11943
2019-08-19,1840,1840,1795,1830,9722
2019-08-20,1820,1835,1810,1830,5811
2019-08-21,1830,1845,1810,1810,6013
2019-08-22,1810,1850,1805,1835,7127
2019-08-23,1830,1835,1820,1825,1072
2019-08-26,1825,1850,1805,1820,2169
2019-08-27,1820,1830,1810,1815,1626
2019-08-28,1815,1825,1810,1810,1279
2019-08-29,1810,1850,1805,1830,2315
2019-08-30,1850,1900,1850,1855,2793
2019-09-02,1875,1900,1860,1880,584
2019-09-03,1870,1890,1870,1880,355
2019-09-04,1900,1970,1875,1920,2191
2019-09-05,1900,1915,1880,1890,4382
2019-09-06,1890,1910,1855,1890,2389
2019-09-09,1890,1910,1860,1860,4747
2019-09-10,1934,1934,1854,1875,2205
2019-09-11,1875,1890,1844,1865,5093
2019-09-16,1865,1940,1865,1935,8569
2019-09-17,2035,2035,1960,1990,16128
2019-09-18,2015,2070,1970,2010,31508
2019-09-19,2365,2610,2235,2235,1654360
2019-09-20,2200,2570,2035,2380,1020469
2019-09-23,2230,2300,2160,2185,267983
2019-09-24,2465,2630,2245,2330,690843
2019-09-25,2435,2520,2290,2405,625870
2019-09-26,2340,2380,2175,2245,213685
2019-09-27,2250,2280,2125,2145,136977
2019-09-30,2115,2120,2070,2095,79531
2019-10-01,2070,2095,2000,2010,66393
2019-10-02,2045,2055,1995,2010,52726
2019-10-04,2010,2040,1940,1945,52223
2019-10-07,1950,1950,1900,1950,29368
2019-10-08,1920,1945,1905,1915,31429
2019-10-10,1920,1985,1880,1880,42709
2019-10-11,1880,1904,1844,1865,27497
2019-10-14,1870,1900,1865,1890,13755
2019-10-15,1870,1900,1870,1890,13457
2019-10-16,1890,1925,1875,1890,19929
2019-10-17,1904,1904,1860,1865,17809
2019-10-18,1880,1890,1850,1850,17966
2019-10-21,1855,1890,1840,1880,21374
2019-10-22,1880,1884,1860,1865,8882
2019-10-23,1855,1865,1820,1820,20895
2019-10-24,1820,1835,1805,1825,10104
2019-10-25,1815,1870,1815,1865,14513
2019-10-28,1864,1875,1840,1865,5967
2019-10-29,1845,1865,1825,1835,9966
2019-10-30,1835,1855,1820,1840,7831
2019-10-31,1835,1860,1815,1845,10165
2019-11-01,1845,1850,1820,1840,6328
2019-11-04,1840,1840,1810,1830,7749
2019-11-05,1830,1850,1830,1850,7370
2019-11-06,1855,1860,1830,1850,10657
2019-11-07,1850,1860,1840,1855,2470
2019-11-08,1875,1890,1855,1865,7526
2019-11-11,1885,1885,1840,1870,6186
2019-11-12,1870,1870,1834,1855,8676
2019-11-13,1855,1855,1825,1830,8274
2019-11-14,1845,1865,1825,1855,4250
2019-11-15,1850,1880,1830,1875,14580
2019-11-18,1880,1880,1855,1880,13770
2019-11-19,1875,1875,1860,1870,9053
2019-11-20,1870,1870,1850,1865,11461
2019-11-21,1855,1880,1835,1870,20272
2019-11-22,1870,1870,1840,1855,5692
2019-11-25,1845,1865,1845,1860,6072
2019-11-26,1850,1865,1840,1855,10294
2019-11-27,1850,1855,1840,1840,7708
2019-11-28,1840,1854,1840,1855,5847
2019-11-29,1845,1855,1825,1830,7676
2019-12-02,1840,1845,1820,1835,11289
2019-12-03,1820,1835,1805,1825,4243
2019-12-04,1810,1820,1800,1820,6381
2019-12-05,1820,1835,1795,1825,8601
2019-12-06,1825,1850,1810,1850,154131
2019-12-09,1865,1910,1840,1895,14524
2019-12-10,1875,1950,1875,1930,21837
2019-12-11,1944,1944,1904,1925,11284
2019-12-12,1930,1950,1915,1930,10615
2019-12-13,1944,2135,1915,2085,92679
2019-12-16,2110,2120,2045,2060,9787
2019-12-17,2060,2090,2020,2020,16007
2019-12-18,2025,2055,2010,2055,5787
2019-12-19,2040,2065,2025,2030,6189
2019-12-20,2030,2090,2010,2020,3379
2019-12-23,2014,2030,1934,1955,14931
2019-12-24,1965,2025,1965,1995,7577
2019-12-26,2005,2034,1980,2015,6575
2019-12-27,1960,1975,1920,1950,9526
2019-12-30,2014,2014,1945,1995,18524
2020-01-02,1995,1995,1955,1970,2956
2020-01-03,1950,1984,1950,1965,2226
2020-01-06,1965,1965,1910,1915,2221
2020-01-07,1900,1925,1900,1915,2841
2020-01-08,1924,1924,1850,1865,7353
2020-01-09,1865,1900,1865,1890,5237
2020-01-10,1870,1950,1864,1945,4124
2020-01-13,1920,1970,1920,1950,3223
2020-01-14,1905,1954,1905,1955,4442
2020-01-15,1955,2010,1935,2000,6840
2020-01-16,2000,2000,1950,1955,3088
2020-01-17,1955,2000,1930,2000,5598
2020-01-20,1980,2005,1950,1970,2644
2020-01-21,1970,1970,1945,1960,1503
2020-01-22,1960,1970,1930,1950,3732
2020-01-23,1980,1990,1920,1970,2434
2020-01-28,1940,1940,1885,1935,7787
2020-01-29,1890,1930,1880,1930,7647
2020-01-30,1930,1930,1895,1925,6082
2020-01-31,1895,1925,1880,1900,6859
2020-02-03,1855,1900,1840,1900,3002
2020-02-04,1865,1910,1865,1900,3555
2020-02-05,1880,1915,1880,1910,1796
2020-02-06,1890,1915,1880,1900,8598
2020-02-07,1880,1904,1880,1905,2292
2020-02-10,1900,1924,1900,1925,3632
2020-02-11,1914,1930,1874,1895,10501
2020-02-12,1884,1884,1844,1845,16023
2020-02-13,1844,1864,1830,1845,8578
2020-02-14,1854,1900,1845,1875,10026
2020-02-17,1874,1874,1854,1875,4067
2020-02-18,1870,1890,1870,1880,1851
2020-02-19,1880,1890,1870,1885,4134
2020-02-20,1875,1930,1875,1905,10499
2020-02-21,1904,1944,1895,1925,8852
2020-02-24,1885,1950,1880,1935,10425
2020-02-25,1990,2060,1915,2020,30031
2020-02-26,1995,2050,1985,2030,10036
2020-02-27,2025,2045,1985,2035,13452
2020-02-28,2010,2030,1984,2025,17937
2020-03-02,1980,2000,1930,1960,11688
2020-03-03,1960,1980,1940,1960,5617
2020-03-04,1975,1975,1930,1960,13863
2020-03-05,1965,2020,1940,2000,10709
2020-03-06,2000,2010,1950,2010,3252
2020-03-09,1965,2005,1965,1975,4928
2020-03-10,1920,1975,1900,1965,7123
2020-03-11,1935,1985,1930,1960,7293
2020-03-12,1960,1960,1865,1930,15920
2020-03-13,1825,1880,1725,1785,28148
2020-03-16,1810,1850,1715,1735,9625
2020-03-17,1770,1770,1640,1765,26268
2020-03-18,1770,1805,1645,1645,11056
2020-03-19,1625,1675,1365,1420,24012
2020-03-20,1440,1530,1410,1430,25150
2020-03-23,1420,1420,1300,1320,19560
2020-03-24,1340,1405,1310,1360,18512
2020-03-25,1480,1650,1435,1455,19154
2020-03-26,1480,1525,1455,1475,15625
2020-03-27,1520,1600,1480,1510,12509
2020-03-30,1530,1535,1480,1535,10056
2020-03-31,1575,1615,1515,1575,12264
2020-04-01,1620,1680,1550,1590,28696
2020-04-02,1590,1620,1530,1620,9892
2020-04-03,1665,1665,1585,1630,11117
2020-04-06,1590,1730,1590,1710,17327
2020-04-07,1780,1780,1710,1745,15643
2020-04-08,1720,1735,1655,1720,24930
2020-04-09,1720,1730,1705,1725,7222
2020-04-10,1720,1740,1700,1720,9740
2020-04-13,1750,1750,1700,1700,7210
2020-04-14,1740,1740,1690,1690,15560
2020-04-16,1700,1700,1655,1700,12078
2020-04-17,1710,1725,1690,1710,12727
2020-04-20,1715,1715,1695,1700,8445
2020-04-21,1700,1710,1660,1690,9618
2020-04-22,1690,1690,1650,1655,17921
2020-04-23,1675,1690,1660,1690,8788
2020-04-24,1670,1735,1670,1710,23703
2020-04-27,1735,1745,1690,1715,25296
2020-04-28,1735,1735,1710,1725,14512
2020-04-29,1725,1820,1725,1800,29194
2020-05-04,1795,1870,1795,1855,25852
2020-05-06,1855,1920,1840,1905,24237
2020-05-07,1910,1960,1910,1945,16990
2020-05-08,1930,1955,1925,1940,15422
2020-05-11,1950,1970,1925,1940,16949
2020-05-12,1910,1945,1910,1935,11828
2020-05-13,1920,1944,1880,1925,17399
2020-05-14,1945,1945,1885,1890,10642
2020-05-15,1894,1925,1890,1915,20475
2020-05-18,1910,1950,1900,1920,7213
2020-05-19,1905,1930,1870,1890,20568
2020-05-20,1895,1910,1835,1890,19218
2020-05-21,1890,1905,1875,1900,8296
2020-05-22,1915,1915,1855,1890,11855
2020-05-25,1870,1880,1855,1870,14422
2020-05-26,1875,1900,1870,1900,10024
2020-05-27,1894,1910,1854,1875,21932
2020-05-28,1865,1885,1850,1855,14502
2020-05-29,1845,1860,1800,1830,33242
2020-06-01,1850,1850,1800,1820,14773
2020-06-02,1820,1835,1790,1810,26394
2020-06-03,1825,1835,1800,1810,25098
2020-06-04,1810,1825,1795,1815,15090
2020-06-05,1820,1825,1795,1825,7662
2020-06-08,1825,1845,1800,1840,18475
2020-06-09,1830,1850,1830,1850,8155
2020-06-10,1850,1870,1840,1850,9914
2020-06-11,1860,1870,1835,1840,18728
2020-06-12,1795,1840,1785,1785,38691
2020-06-15,1785,1805,1710,1720,28089
2020-06-16,1745,1765,1720,1725,35361
2020-06-17,1735,1875,1730,1865,53159
2020-06-18,1880,1925,1825,1915,35670
2020-06-19,1910,2035,1900,2020,71355
2020-06-22,2070,2070,1960,1965,27314
2020-06-23,1964,1970,1924,1965,15617
2020-06-24,1930,2004,1930,1985,10318
2020-06-25,1930,1995,1925,1970,10717
2020-06-26,1935,2010,1935,1960,9477
2020-06-29,1960,1965,1935,1960,3182
2020-06-30,1995,1995,1935,1970,5077
2020-07-01,1975,1975,1915,1945,13250
2020-07-02,1964,1975,1904,1945,8659
2020-07-03,1960,1960,1894,1935,5702
2020-07-06,1940,1940,1895,1905,9532
2020-07-07,1905,1910,1865,1870,7334
2020-07-08,1874,1894,1860,1875,4494
2020-07-09,1910,1930,1870,1915,5275
2020-07-10,1930,1950,1890,1930,8872
2020-07-13,1930,1940,1905,1930,6607
2020-07-14,1975,1975,1900,1910,10676
2020-07-15,1905,1925,1890,1915,8550
2020-07-16,1910,1910,1850,1900,24680
2020-07-17,1900,1924,1880,1925,8127
2020-07-20,1925,1925,1885,1900,4604
2020-07-21,1900,1910,1875,1905,8900
2020-07-22,1890,1935,1890,1905,12598
2020-07-23,1905,1920,1895,1910,9273
2020-07-24,1905,2150,1895,1990,60001
2020-07-27,2040,2060,1970,1980,51440
2020-07-28,1990,1995,1960,1970,18603
2020-07-29,1995,2030,1960,1985,28501
2020-07-30,1995,2035,1975,2020,28716
2020-07-31,2030,2030,2000,2000,26516
2020-08-03,2000,2010,1965,1990,12124
2020-08-04,1980,2024,1964,2005,21288
2020-08-05,2020,2020,1970,1980,10678
2020-08-06,2040,2075,2005,2050,108665
2020-08-07,2075,2075,2005,2010,42533
2020-08-10,1994,2030,1980,1995,50003
2020-08-11,2000,2025,1974,1995,30586
2020-08-12,1995,1995,1965,1990,21554
2020-08-13,1990,2020,1965,2000,19122
2020-08-14,2000,2030,1960,2010,65110
2020-08-18,2005,2005,1875,1880,45565
2020-08-19,1925,1940,1885,1920,21565
2020-08-20,1895,1930,1844,1865,17374
2020-08-21,1865,1905,1860,1880,4880
2020-08-24,1875,1880,1840,1850,13890
2020-08-25,1850,1905,1845,1900,45535
2020-08-26,1900,1910,1870,1895,9985
2020-08-27,1915,1915,1865,1890,9816
2020-08-28,1870,1900,1860,1860,17856
2020-08-31,1885,1900,1825,1870,20909
2020-09-01,1870,1900,1845,1855,18480
2020-09-02,1860,1860,1845,1855,8102
2020-09-03,1860,1880,1850,1860,12504
2020-09-04,1845,1854,1805,1815,39167
2020-09-07,1825,1845,1805,1805,43537
2020-09-08,1820,1820,1790,1790,27673
2020-09-09,1790,1820,1780,1815,22678
2020-09-10,1815,1900,1815,1880,31214
2020-09-11,1880,1895,1850,1865,12092
2020-09-14,1880,1900,1864,1885,14389
2020-09-15,1900,1900,1870,1885,11972
2020-09-16,1895,1895,1860,1880,18420
2020-09-17,1880,1885,1845,1870,13410
2020-09-18,1870,1880,1835,1870,22162
2020-09-21,1870,1870,1795,1820,25809
2020-09-22,1815,1880,1800,1860,43283
2020-09-23,1880,1895,1844,1865,15651
2020-09-24,1860,1860,1805,1815,8559
2020-09-25,1815,1815,1795,1805,9186
2020-09-28,1820,1825,1805,1820,7085
2020-09-29,1830,1830,1805,1810,5472
2020-10-05,1820,1840,1805,1825,5737
2020-10-06,1835,1860,1825,1850,9362
2020-10-07,1850,1850,1810,1830,2523
2020-10-08,1840,1885,1825,1875,33638
2020-10-12,1890,1900,1860,1875,8952
2020-10-13,1895,1895,1840,1850,15783
2020-10-14,1850,1850,1820,1830,6526
2020-10-15,1830,1840,1810,1840,8159
2020-10-16,1840,1890,1825,1890,34620
2020-10-19,1890,1890,1850,1885,7496
2020-10-20,1880,1890,1854,1875,15030
2020-10-21,1875,1884,1860,1885,9646
2020-10-22,1875,1900,1865,1900,10169
