timestamp,open,high,low,close,volume
2019-01-02,1584,1611,1564,1580,28171
2019-01-03,1579,1611,1575,1600,26754
2019-01-04,1599,1599,1508,1525,86737
2019-01-07,1568,1611,1524,1608,68414
2019-01-08,1599,1607,1579,1596,26374
2019-01-09,1595,1639,1587,1639,46925
2019-01-10,1647,1742,1623,1664,321121
2019-01-11,1667,1726,1667,1676,90273
2019-01-14,1674,1702,1623,1671,80756
2019-01-15,1678,1710,1642,1679,89334
2019-01-16,1678,1770,1662,1735,250592
2019-01-17,1734,1766,1694,1759,165719
2019-01-18,1754,1761,1722,1759,95792
2019-01-21,1730,1901,1726,1901,470989
2019-01-22,1963,2268,1908,1984,3740749
2019-01-23,2027,2526,1947,2269,9477734
2019-01-24,2237,2518,2177,2328,4271627
2019-01-25,2296,2399,2273,2344,891461
2019-01-28,2296,2558,2296,2515,2296768
2019-01-29,2491,2629,2482,2586,970101
2019-01-30,2652,2652,2383,2384,669844
2019-01-31,2383,2455,2372,2456,267533
2019-02-01,2455,2693,2455,2626,883176
2019-02-07,2641,2989,2613,2863,2242324
2019-02-08,2863,2930,2803,2875,520927
2019-02-11,2866,2906,2693,2769,574191
2019-02-12,2712,2827,2712,2769,212556
2019-02-13,2767,2851,2700,2737,231044
2019-02-14,2735,2985,2724,2863,507053
2019-02-15,2882,3033,2847,2867,504735
2019-02-18,2866,2981,2859,2931,258051
2019-02-19,2890,2957,2886,2950,169368
2019-02-20,2950,2969,2866,2931,195053
2019-02-21,2930,2937,2811,2856,210218
2019-02-22,2854,2937,2716,2875,318278
2019-02-25,2874,2910,2641,2729,391368
2019-02-26,2724,2748,2399,2622,1553664
2019-02-27,2613,2851,2613,2852,975917
2019-02-28,2831,2874,2549,2622,1024874
2019-03-04,2621,2771,2443,2479,401605
2019-03-05,2526,2894,2443,2484,1422767
2019-03-06,2482,2530,2316,2408,600363
2019-03-07,2407,2431,2257,2376,357412
2019-03-08,2332,2593,2241,2475,990631
2019-03-11,2478,2558,2475,2475,304639
2019-03-12,2475,2494,2304,2412,344110
2019-03-13,2376,2459,2351,2365,188103
2019-03-14,2351,2502,2328,2412,326529
2019-03-15,2415,2462,2351,2416,174533
2019-03-18,2475,2475,2268,2277,325185
2019-03-19,2276,2494,2264,2484,479173
2019-03-20,2482,2506,2308,2416,217204
2019-03-21,2383,2383,2296,2356,262726
2019-03-22,2363,2439,2304,2400,163009
2019-03-25,2376,2376,2273,2365,161201
2019-03-26,2320,2395,2296,2297,156426
2019-03-27,2296,2652,2264,2629,2624285
2019-03-28,2590,2760,2590,2737,1130129
2019-03-29,2712,2755,2613,2717,624971
2019-04-01,2708,2708,2510,2551,730109
2019-04-02,2538,2641,2530,2567,430999
2019-04-03,2553,2613,2510,2539,260178
2019-04-04,2553,2748,2494,2626,745576
2019-04-05,2609,3009,2605,2888,2388119
2019-04-08,2854,2937,2693,2709,1366984
2019-04-09,2708,2792,2672,2760,369974
2019-04-10,2760,2854,2708,2753,756154
2019-04-11,2771,2978,2732,2974,888547
2019-04-12,2870,2882,2534,2562,3686945
2019-04-15,2542,2621,2470,2558,587933
2019-04-16,2601,2652,2534,2645,664672
2019-04-17,2613,2866,2565,2796,881404
