회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일,보통주자본금(IFRS),우선주자본금(IFRS)
(주)BNK금융지주,138930,2018/06,58.47,94.24,67.69,1.39,1.1,26.21,,4851940888,0,65221574,2011/03/30,1629676230,0
(주)BNK금융지주,138930,2019/06,-1.67,-7.69,63.78,1.24,0.98,26.66,,4852375151,0,60204223,2011/03/30,1629676230,0
(주)BNK금융지주,138930,2020/06,43.39,75.14,77.64,2.12,1.69,24.26,,5104187630,0,105438694,2011/03/30,1629676230,0
(주)BNK금융지주,138930,2021/06,102.4,129.61,88.23,4.65,3.72,25.67,,5304170067,0,242096740,2011/03/30,1629676230,0
(주)CMG제약,058820,2018/06,22.67,46.1,5.5,2.35,2.12,12.65,0,100292900,1323711,2391366,2001/08/31,54443622,0
(주)CMG제약,058820,2019/06,14.43,-30.36,3.65,1.62,1.43,13.77,0.21,105680979,1005317,1665377,2001/08/31,54446122,0
(주)CMG제약,058820,2020/06,10.63,26.36,2.21,1.46,1.32,9.13,0.36,182567822,672847,2104386,2001/08/31,69446122,0
(주)CMG제약,058820,2021/06,8.55,-41.78,2.07,0.67,0.62,7.83,0.35,182456047,686048,1225225,2001/08/31,69446122,0
(주)DB하이텍,000990,2018/06,-14.42,-15.1,14.88,10.24,4.61,109.81,34.95,493018481,46501501,46700317,1975/12/12,221992940,562895
(주)DB하이텍,000990,2019/06,19.38,6.26,19.19,9.27,4.6,94.16,28.59,577357103,71601785,49625283,1975/12/12,221992940,562895
(주)DB하이텍,000990,2020/06,25.3,120.97,30.32,16.65,9.77,51.79,15.14,739931733,141730846,109656599,1975/12/12,221992940,562895
(주)DB하이텍,000990,2021/06,10.9,-2.64,27.38,13.12,9,40.59,12.41,887916374,141909814,106757720,1975/12/12,221992940,562895
(주)ES큐브,050120,2018/06,-18.1,111.45,4.19,3.81,2.4,64.08,29.29,74540272,861641,2774092,2002/04/25,41621527,0
(주)ES큐브,050120,2019/06,-32.56,0,2.27,-0.81,-0.5,59.38,30.57,67787889,314498,-576168,2002/04/25,42659948,0
(주)ES큐브,050120,2020/06,24.04,0,3.95,-40.3,-17.35,273.26,46.28,34993739,679410,-20708636,2002/04/25,42919553,0
(주)ES큐브,050120,2021/06,20.18,0,6.99,1.92,0.96,19.32,8.51,73861533,1444721,1046561,2002/04/25,69092016,0
(주)JB금융지주,175330,2018/06,9.14,7.07,75.81,3.55,2.7,30.52,,1589961000,0,54633000,2013/07/18,777197000,0
(주)JB금융지주,175330,2019/06,-1.55,-1.35,75.55,2.87,2.29,21.51,,2165626000,0,53897000,2013/07/18,984914000,0
(주)JB금융지주,175330,2020/06,34.26,43.73,81.95,3.73,2.83,42.47,,1989110000,0,77467000,2013/07/18,984914000,0
(주)JB금융지주,175330,2021/06,52.23,60.93,86.87,6.11,4.38,37.06,,2088431000,0,124666000,2013/07/18,984914000,0
(주)KB금융지주,105560,2018/06,53.35,57.73,91.88,5.28,4.03,32.65,,19189484000,0,1009961000,2008/10/10,2090558000,0
(주)KB금융지주,105560,2019/06,-14.45,-16.64,89.47,4.38,3.31,31.48,,19282712000,0,841950000,2008/10/10,2090558000,0
(주)KB금융지주,105560,2020/06,4.69,4.52,89.73,4.53,3.39,35.67,,19609647000,0,880021000,2008/10/10,2090558000,0
(주)KB금융지주,105560,2021/06,48.3,53.64,92.32,6.42,4.86,29.21,,22490560000,0,1352063000,2008/10/10,2090558000,0
