ticker,company_name,listingdate,fiscal_year,market_cap,sales_growth_rate,net_profit_growth_rate,operating_profit_rate,roe,roa,debt_ratio,20_06_close_price,20_06_rate_of_return,20_09_close_price,20_09_rate_of_return,20_12_close_price,20_12_rate_of_return,21_03_close_price,21_03_rate_of_return,21_06_close_price,PER,PER_cal,PBR,PCR,PSR,DYR
5930,삼성전자(주),1975-06-11,2021,4.81761E+14,16.44,134.67,13.4,7.6,6.13,25.63,52800,0.528409091,58200,0.386597938,81000,-0.37037037,81400,-0.85995086,80700,30.85,34.60526316,2.63,12.84,2.9,3.71
660,에스케이하이닉스(주),1996-12-26,2021,9.28203E+13,19.48,53.11,21.34,5.85,4.41,35.23,85100,0.498237368,84000,0.517857143,118500,7.594936709,132500,-3.773584906,127500,22.11,32.13675214,1.88,8.56,3.06,0.92
35720,(주)카카오,2017-07-10,2021,7.23605E+13,23.19,96.76,17.19,3.2,2.46,35.28,52905.91782,2.080940786,72310.69886,1.254161591,77593.47366,110.0692137,99556.01985,63.726915,163000,441.73,84.6875,2.71,22.88,8.11,0.02
35420,네이버(주),2008-11-28,2021,6.858E+13,24.56,15.91,31.55,9.31,7.2,36.46,267000,0.563670412,296500,0.408094435,292500,42.73504274,377000,10.74270557,417500,57.3,101.396348,9.44,53.28,16.62,0.1
51910,(주)엘지화학,2001-04-25,2021,6.00035E+13,-9.65,240.67,18.66,10.08,6.05,61.15,490500,0.732925586,654000,0.29969419,824000,3.155339806,805000,5.590062112,850000,127.51,35.11904762,3.54,11.46,2.88,1.18
207940,삼성바이오로직스(주),2016-11-10,2021,5.56448E+13,30.7,74.66,35.77,6.36,4.51,42.58,775000,0.08516129,690000,0.21884058,826000,1.81598063,748000,12.43315508,841000,221.72,292.1383648,18.58,274.66,47.77,0
5380,현대자동차(주),1974-06-28,2021,5.11735E+13,19.22,65.95,3.32,3.35,2.35,46.85,97700,1.451381781,178500,0.341736695,192000,24.73958333,218000,9.862385321,239500,97.11,28.35820896,0.95,8.4,1.01,1.25
6400,삼성SDI(주),1979-02-27,2021,4.79976E+13,31.03,286.88,4.96,2.14,1.55,39.45,363500,0.920220083,433500,0.610149942,628000,11.14649682,660000,5.757575758,698000,220.87,200,4.28,65.96,5.27,0.14
68270,(주)셀트리온,2018-02-09,2021,3.70306E+13,-2.55,19.84,46.15,8.9,6.75,32.68,299394.5005,-0.10318994,252042.9315,0.065294703,351402.4794,-23.591888,317703.0153,-15.48710995,268500,71.38,118.0898876,10.51,113.57,21.45,0
270,기아(주),1973-07-21,2021,3.63206E+13,30.39,214.65,5.83,4.79,2.74,77.87,32050,1.795631825,46900,0.910447761,62400,43.58974359,82900,8.082026538,89600,47.46,32.15031315,1.54,96.84,1.06,1.12
5490,(주)포스코,1988-06-10,2021,3.0341E+13,32.85,393.91,15.7,4.92,3.89,26.06,174000,1,196000,0.775510204,272000,27.94117647,320000,8.75,348000,31.41,13.61788618,0.67,5.88,1.14,2.3
12330,현대모비스(주),1989-09-05,2021,2.76796E+13,23.71,34.75,5.21,3.45,2.68,31.1,192529.8614,0.516647848,230634.7298,0.266071247,256205.102,13.9711886,292000,0,292000,23.82,33.33333333,1.15,18.29,1.21,1.37
51900,(주)엘지생활건강,2001-04-25,2021,2.75193E+13,21.28,-12.79,20.4,9.84,8.15,19.2,1346000,0.309063893,1448000,0.216850829,1620000,8.765432099,1570000,12.22929936,1762000,44.5,73.67886179,7.25,37.77,6.23,0.62
96770,SK이노베이션(주),2007-07-25,2021,2.73236E+13,-16.18,-42.33,28.17,5.79,4.5,32.9,131000,1.255725191,139000,1.125899281,190000,55.52631579,219000,34.93150685,295500,17.16,33.67875648,1.95,14.65,7.17,0
66570,엘지전자(주),2002-04-22,2021,2.67564E+13,3.03,0,2.69,-9.89,-3.21,228.17,63200,1.587025316,91700,0.782988004,135000,21.11111111,150000,9,163500,22.08,-27.30030334,2.7,12.03,0.94,0.73
28260,삼성물산(주),2014-12-18,2021,2.55101E+13,6.64,280.81,2.26,3.74,2.31,55.97,116000,0.176724138,105000,0.3,138000,-1.086956522,124500,9.638554217,136500,79.66,24.3315508,0.91,26.55,1.34,1.68
105560,(주)KB금융지주,2008-10-10,2021,2.32021E+13,48.3,53.64,92.32,6.42,4.86,29.21,33950,0.64359352,37550,0.486018642,43400,28.57142857,56200,-0.711743772,55800,16.82,17.28971963,1.11,16.7,14.52,3.17
17670,에스케이텔레콤(주),1989-11-07,2021,2.30592E+13,2.38,13.1,10.59,3.66,2.05,81.68,236432.2955,0.353453002,266686.665,0.199910014,266686.665,19.99100141,308146.3566,3.846757586,320000,34.05,40.71038251,1.49,5.89,2.2,3.13
55550,(주)신한금융지주회사,2001-09-10,2021,2.09739E+13,10.14,12.4,87.62,5.89,4.16,38.68,26568.27498,0.528138354,25505.54398,0.591810785,32045.48849,26.69490126,37450,8.411214953,40600,16.46,14.2614601,0.84,0,12.44,3.69
34730,에스케이(주),2009-11-11,2021,1.98768E+13,-29.64,13.8,37.36,7.89,4.89,61.26,291000,-0.029209622,198500,0.423173804,240500,17.46361746,282000,0.177304965,282500,11.58,16.98352345,1.34,12.51,5.72,2.48
36570,(주)엔씨소프트,2003-05-22,2021,1.80023E+13,-18.5,-54.85,16.18,5.43,4.31,27.15,891000,-0.079685746,806000,0.017369727,931000,-11.9226638,873000,-6.071019473,820000,28.69,104.0515654,5.65,24.14,8.03,1.04
91990,(주)셀트리온헬스케어,2017-07-28,2021,1.79324E+13,-35.1,-55,13.72,4.25,2.55,64.92,105892.9528,0.092612841,85871.60253,0.347360438,159654.5183,-27.53102057,133350.2314,-13.23599607,115700,58.07,200.7058824,8.53,99.85,8.3,0
3550,(주)엘지,1970-02-13,2021,1.61234E+13,-15.39,1.55,83.89,13.51,12.97,3.1,78105.46833,0.312328089,81286.73038,0.26096842,95986.35504,6.786011361,99167.61709,3.360353917,102500,13.29,12.73131014,1.72,29.61,17.41,2.44
