종목코드,종목명,시가총액
60310,3S,"141,822,187,345"
95570,AJ네트웍스,"284,679,553,600"
6840,AK홀딩스,"431,870,488,600"
54620,APS홀딩스,"322,228,691,800"
265520,AP시스템,"459,747,207,250"
211270,AP위성,"276,006,163,200"
27410,BGF,"637,473,828,060"
282330,BGF리테일,"3,102,461,127,000"
138930,BNK금융지주,"2,519,479,451,580"
1460,BYC,"263,275,222,500"
1465,BYC우,"40,061,610,000"
13720,CBI,"186,067,040,250"
1040,CJ,"3,121,938,786,000"
79160,CJ CGV,"1,070,550,000,000"
35760,CJ ENM,"4,006,456,435,800"
00104K,CJ4우(전환),"381,654,033,600"
120,CJ대한통운,"4,037,784,888,000"
11150,CJ씨푸드,"169,413,594,695"
11155,CJ씨푸드1우,"8,800,000,000"
1045,CJ우,"147,140,517,300"
97950,CJ제일제당,"6,939,979,746,000"
97955,CJ제일제당 우,"278,760,930,000"
51500,CJ프레시웨이,"404,821,082,600"
58820,CMG제약,"731,962,125,880"
23460,CNH,"131,502,000,000"
56000,COWON,"56,399,843,500"
65770,CS,"108,881,058,000"
83660,CSA 코스믹,"68,583,283,250"
590,CS홀딩스,"82,660,911,200"
12030,DB,"212,238,499,315"
367340,DB금융스팩8호,"12,826,000,000"
367360,DB금융스팩9호,"10,236,600,000"
16610,DB금융투자,"307,311,856,360"
5830,DB손해보험,"3,879,840,000,000"
990,DB하이텍,"2,770,471,891,200"
995,DB하이텍1우,"13,646,394,000"
139130,DGB금융지주,"1,573,056,246,900"
1530,DI동일,"493,343,707,500"
210,DL,"1,676,470,720,000"
1880,DL건설,"788,404,903,000"
215,DL우,"78,825,876,250"
375500,DL이앤씨,"2,748,940,796,000"
37550K,DL이앤씨우,"168,899,411,500"
68790,DMS,"191,424,145,190"
4840,DRB동일,"162,828,100,000"
241520,DSC인베스트먼트,"156,300,084,860"
155660,DSR,"115,520,000,000"
69730,DSR제강,"99,936,000,000"
17940,E1,"384,846,000,000"
245620,EDGC,"443,239,397,500"
37370,EG,"106,125,000,000"
278990,EMB,"27,544,087,200"
79190,EMW,"88,360,067,660"
365550,ESR켄달스퀘어리츠,"1,080,172,860,000"
50120,ES큐브,"89,387,326,740"
383220,F&F,"4,290,392,400,000"
7700,F&F홀딩스,"291,357,725,250"
130500,GH신소재,"78,100,000,000"
114090,GKL,"1,029,896,905,500"
900290,GRT,"64,073,625,000"
78930,GS,"4,297,336,232,500"
83450,GST,"255,772,100,250"
6360,GS건설,"3,671,445,921,000"
1250,GS글로벌,"250,902,642,560"
7070,GS리테일,"2,976,050,000,000"
78935,GS우,"67,912,629,300"
28150,GS홈쇼핑,"1,016,531,250,000"
45890,GV,"20,823,884,880"
78150,HB테크놀러지,"244,870,320,600"
12630,HDC,"773,655,286,950"
39570,HDC아이콘트롤스,"237,847,000,000"
89470,HDC현대EP,"209,264,000,000"
294870,HDC현대산업개발,"2,076,080,895,000"
11200,HMM,"15,162,730,179,300"
36640,HRS,"104,670,720,000"
82740,HSD엔진,"387,724,480,100"
335870,IBKS제12호스팩,"6,864,000,000"
351340,IBKS제13호스팩,"11,193,050,000"
351320,IBKS제14호스팩,"9,872,400,000"
373200,IBKS제15호스팩,"7,620,800,000"
3560,IHQ,"284,428,529,860"
95340,ISC,"397,414,981,800"
99520,ITX-AI,"37,652,662,655"
175330,JB금융지주,"1,483,281,191,820"
950170,JTC,"195,330,784,860"
234080,JW생명과학,"308,773,803,000"
67290,JW신약,"225,835,450,120"
1060,JW중외제약,"645,120,783,700"
1067,JW중외제약2우B,"6,670,107,600"
1065,JW중외제약우,"9,229,272,000"
96760,JW홀딩스,"320,989,143,580"
35900,JYP Ent.,"1,437,648,426,000"
24840,KBI메탈,"88,473,026,880"
105560,KB금융,"23,202,081,936,000"
24120,KB오토시스,"101,200,000,000"
2380,KCC,"3,052,502,788,500"
21320,KCC건설,"224,700,000,000"
36670,KCI,"112,023,800,000"
9070,KCTC,"243,900,000,000"
9440,KC그린홀딩스,"122,719,340,600"
112190,KC산업,"29,569,799,950"
119650,KC코트렐,"92,430,000,000"
44180,KD,"24,044,398,800"
92220,KEC,"317,442,876,800"
151860,KG ETS,"783,000,000,000"
16380,KG동부제철,"1,785,158,811,450"
16385,KG동부제철우,"7,126,897,500"
46440,KG모빌리언스,"413,492,299,200"
35600,KG이니시스,"601,340,552,700"
1390,KG케미칼,"542,164,353,600"
226360,KH E&T,"116,004,163,905"
111870,KH 일렉트론,"112,172,848,980"
33180,KH 필룩스,"467,861,367,870"
60720,KH바텍,"518,458,475,700"
1940,KISCO홀딩스,"385,232,523,000"
122450,KMH,"627,903,101,400"
52900,KMH하이텍,"92,130,005,535"
58400,KNN,"274,129,520,400"
114450,KPX생명과학,"145,650,000,000"
25000,KPX케미칼,"332,992,000,000"
92230,KPX홀딩스,"303,752,047,400"
40,KR모터스,"117,768,275,800"
44450,KSS해운,"292,142,088,000"
30200,KT,"8,303,355,494,400"
33780,KT&G,"11,587,486,746,800"
30210,KTB투자증권,"469,846,776,680"
36030,KTH,"423,223,010,700"
58850,KTcs,"148,330,375,000"
58860,KTis,"111,192,390,000"
60370,KT서브마린,"167,754,000,000"
93050,LF,"595,034,000,000"
3550,LG,"16,123,351,782,500"
34220,LG디스플레이,"8,766,484,650,000"
1120,LG상사,"1,209,312,000,000"
51900,LG생활건강,"27,519,263,114,000"
51905,LG생활건강우,"1,606,268,205,000"
3555,LG우,"222,391,232,000"
32640,LG유플러스,"6,701,984,391,350"
11070,LG이노텍,"5,277,764,861,000"
66570,LG전자,"26,756,417,589,000"
66575,LG전자우,"1,352,537,570,400"
108670,LG하우시스,"881,521,961,000"
108675,LG하우시스우,"45,732,219,000"
37560,LG헬로비전,"699,345,190,950"
51910,LG화학,"60,003,491,550,000"
51915,LG화학우,"2,948,654,800,000"
79550,LIG넥스원,"933,900,000,000"
6260,LS,"2,279,760,000,000"
10120,LS ELECTRIC,"1,677,000,000,000"
680,LS네트웍스,"428,688,407,040"
229640,LS전선아시아,"297,673,823,880"
383800,LX홀딩스,"858,157,762,500"
38380K,LX홀딩스1우,"28,499,793,250"
23150,MH에탄올,"84,853,049,000"
65150,MP그룹,"122,526,192,090"
35420,NAVER,"68,579,967,412,500"
160550,NEW,"278,223,876,820"
53290,NE능률,"370,189,276,800"
181710,NHN,"1,631,723,085,000"
104200,NHN벅스,"92,227,361,000"
60250,NHN한국사이버결제,"1,423,610,878,900"
5940,NH투자증권,"3,630,174,642,300"
5945,NH투자증권우,"211,354,841,600"
338100,NH프라임리츠,"91,620,600,000"
34310,NICE,"721,657,815,000"
30190,NICE평가정보,"1,523,941,982,000"
8260,NI스틸,"157,300,643,500"
4250,NPC,"173,869,200,000"
4255,NPC우,"15,708,000,000"
10060,OCI,"2,802,301,092,500"
78590,OQP,"322,897,066,620"
178920,PI첨단소재,"1,615,147,710,000"
24940,PN풍년,"106,500,000,000"
5490,POSCO,"30,341,018,580,000"
218410,RFHIC,"946,750,514,000"
327260,RF머트리얼즈,"109,695,934,000"
91340,S&K폴리텍,"68,583,805,060"
10950,S-Oil,"11,539,736,180,000"
10955,S-Oil우,"246,544,125,100"
19550,SBI인베스트먼트,"290,909,502,125"
950110,SBI핀테크솔루션즈,"198,396,330,000"
34120,SBS,"793,987,317,000"
101060,SBS미디어홀딩스,"296,579,922,800"
46140,SBS콘텐츠허브,"186,303,657,400"
36120,SCI평가정보,"143,775,000,000"
99220,SDN,"155,135,459,080"
36540,SFA반도체,"1,233,452,272,500"
255220,SG,"100,357,456,440"
40610,SG&G,"116,578,210,320"
49470,SGA,"74,949,516,070"
184230,SGA솔루션즈,"77,467,856,400"
5090,SGC에너지,"763,204,208,000"
16250,SGC이테크건설,"141,090,015,900"
1380,SG글로벌,"166,816,970,530"
4060,SG세계물산,"171,049,091,200"
2360,SH에너지화학,"136,138,819,250"
9160,SIMPAC,"348,085,025,120"
123700,SJM,"93,785,436,980"
25530,SJM홀딩스,"76,760,801,120"
34730,SK,"19,876,783,902,500"
307070,SK4호스팩,"10,500,600,000"
337450,SK5호스팩,"10,193,150,000"
340350,SK6호스팩,"12,105,200,000"
11790,SKC,"6,002,125,233,000"
18670,SK가스,"1,130,704,890,000"
1740,SK네트웍스,"1,494,089,634,940"
1745,SK네트웍스우,"13,410,464,000"
6120,SK디스커버리,"1,007,102,529,500"
6125,SK디스커버리우,"55,832,500,500"
210980,SK디앤디,"690,292,461,400"
68400,SK렌터카,"647,816,008,000"
36490,SK머티리얼즈,"3,713,835,663,300"
302440,SK바이오사이언스,"12,125,250,000,000"
326030,SK바이오팜,"9,632,529,750,000"
361610,SK아이이테크놀로지,"13,047,459,336,000"
03473K,SK우,"143,798,290,000"
96770,SK이노베이션,"27,323,574,162,000"
96775,SK이노베이션우,"240,322,005,000"
1510,SK증권,"484,404,925,275"
1515,SK증권우,"19,249,568,880"
285130,SK케미칼,"3,055,362,960,000"
28513K,SK케미칼우,"164,100,375,000"
17670,SK텔레콤,"23,059,245,760,000"
660,SK하이닉스,"92,820,301,537,500"
48550,SM C&C,"312,545,046,000"
63440,SM Life Design,"134,936,170,460"
950180,SNK,"444,403,980,000"
64960,SNT모티브,"1,038,242,656,000"
100840,SNT에너지,"168,525,661,950"
3570,SNT중공업,"365,779,667,000"
36530,SNT홀딩스,"359,500,686,300"
5610,SPC삼립,"751,586,683,900"
11810,STX,"177,203,089,000"
77970,STX엔진,"342,832,669,600"
71970,STX중공업,"236,004,920,320"
2820,SUN&L,"77,286,972,570"
289080,SV인베스트먼트,"229,172,370,000"
84870,TBH글로벌,"56,626,263,585"
2710,TCC스틸,"114,915,000,000"
89230,THE E&M,"167,896,954,000"
161570,THE MIDONG,"29,451,548,700"
192410,THQ,"104,804,810,725"
32540,TJ미디어,"74,952,056,420"
48770,TPC,"66,259,470,420"
246690,TS인베스트먼트,"167,850,020,910"
317240,TS트릴리온,"122,508,051,285"
2900,TYM,"305,347,847,040"
38340,UCI,"16,641,828,315"
73570,WI,"131,470,418,625"
24070,WISCOM,"89,506,397,920"
57030,YBM넷,"143,877,987,540"
37270,YG PLUS,"385,650,812,800"
40300,YTN,"166,530,000,000"
51390,YW,"59,502,128,320"
52220,iMBC,"98,210,000,000"
79940,가비아,"228,753,059,600"
78890,가온미디어,"216,379,062,900"
500,가온전선,"138,331,537,750"
36620,감성코퍼레이션,"138,409,373,960"
860,강남제비스코,"195,975,000,000"
217730,강스템바이오텍,"165,128,504,480"
114190,강원,"45,387,277,500"
35250,강원랜드,"5,754,999,450,000"
94480,갤럭시아머니트리,"291,085,397,960"
11420,갤럭시아에스엠,"63,364,181,200"
63080,게임빌,"254,574,411,200"
39240,경남스틸,"111,250,000,000"
53950,경남제약,"122,621,246,010"
223310,경남제약헬스케어,"37,836,250,520"
2100,경농,"327,003,131,250"
9450,경동나비엔,"953,691,573,000"
267290,경동도시가스,"146,795,609,400"
12320,경동인베스트,"95,428,678,050"
11040,경동제약,"346,148,617,500"
50,경방,"390,667,597,500"
214390,경보제약,"320,351,924,000"
12610,경인양행,"297,943,900,700"
9140,경인전자,"50,108,424,300"
24910,경창산업,"105,128,779,675"
13580,계룡건설,"321,959,197,350"
12200,계양전기,"167,564,000,000"
12205,계양전기우,"11,340,000,000"
2140,고려산업,"109,733,470,000"
198440,고려시멘트,"163,737,395,200"
49720,고려신용정보,"140,426,000,000"
10130,고려아연,"8,142,405,000,000"
