날짜,종가,오픈,고가,저가,변동 %
2021년 12월 31일,862.46,863.32,865.63,860.48,0.02%
2021년 12월 30일,862.29,858.85,865.34,857.9,0.37%
2021년 12월 29일,859.14,858.91,862.72,855.88,0.05%
2021년 12월 28일,858.75,858.5,862.99,857.12,0.08%
2021년 12월 27일,858.04,857.29,860.42,855.05,0.16%
2021년 12월 24일,856.64,858.76,860.36,855.97,-0.20%
2021년 12월 23일,858.34,858.7,861.77,854.59,-0.02%
2021년 12월 22일,858.5,851.6,859.65,848.45,0.79%
2021년 12월 21일,851.81,846.03,853.2,844.96,0.73%
2021년 12월 20일,845.64,847.58,849.26,843.64,-0.06%
2021년 12월 17일,846.12,852.3,852.84,845.47,-0.70%
2021년 12월 16일,852.11,849.7,855.22,844.9,0.37%
2021년 12월 15일,848.98,841.76,851.18,840.97,0.86%
2021년 12월 14일,841.72,844.98,845.93,838.55,-0.36%
2021년 12월 13일,844.72,843.68,847.55,841.77,-0.24%
2021년 12월 10일,846.79,842.47,848.37,839.65,0.54%
2021년 12월 09일,842.26,842.93,844.45,839.71,-0.06%
2021년 12월 08일,842.73,837.75,844.46,836.71,0.61%
2021년 12월 07일,837.6,832.36,838.93,831.33,0.65%
2021년 12월 06일,832.16,826.41,833.53,826.05,0.73%
2021년 12월 03일,826.12,834.86,837.86,825.82,-1.02%
2021년 12월 02일,834.66,836.42,838.68,833.22,-0.17%
2021년 12월 01일,836.09,842.83,845.88,834.02,-0.75%
2021년 11월 30일,842.44,850.89,851.74,837.82,-0.91%
2021년 11월 29일,850.15,850.88,854.95,848.54,-0.08%
2021년 11월 26일,850.79,855.91,856.98,849.66,-0.58%
2021년 11월 25일,855.73,855.59,858.18,854.28,0.05%
2021년 11월 24일,855.32,860.18,860.9,853.13,-0.47%
2021년 11월 23일,859.35,860.07,861.96,856.95,-0.03%
2021년 11월 22일,859.59,858.99,863.48,857.98,0.10%
2021년 11월 19일,858.75,861.22,864.21,858.46,-0.17%
2021년 11월 18일,860.17,857.93,864.1,856.33,0.30%
2021년 11월 17일,857.6,864.73,865.42,857.09,-0.79%
2021년 11월 16일,864.45,869.56,870.35,863.48,-0.56%
2021년 11월 15일,869.34,865.2,871.07,863.47,0.55%
2021년 11월 12일,864.59,862.64,871.6,856.4,0.29%
2021년 11월 11일,862.08,868.36,870.35,859.84,-0.70%
2021년 11월 10일,868.16,869.45,872.03,865.05,-0.10%
2021년 11월 09일,869.07,876.79,891.59,867.59,-0.83%
2021년 11월 08일,876.3,874.02,878.85,872.69,0.25%
2021년 11월 05일,874.1,877.85,879.27,873.49,-0.35%
2021년 11월 04일,877.18,877.8,882.27,875.66,-0.05%
2021년 11월 03일,877.6,875.57,882.93,874.83,0.25%
2021년 11월 02일,875.37,886.11,887.19,873.53,-1.19%
2021년 11월 01일,885.91,882.07,888.4,881.14,0.29%
2021년 10월 29일,883.32,881.67,884.95,879.59,0.22%
2021년 10월 28일,881.41,881.11,882.97,877.47,0.08%
2021년 10월 27일,880.68,876.04,882.6,875.41,0.55%
2021년 10월 26일,875.85,875.16,877.97,873.09,0.10%
2021년 10월 25일,874.96,879.34,880.59,873.48,-0.44%
2021년 10월 22일,878.87,879.51,883.41,877.4,-0.05%
2021년 10월 21일,879.33,883.74,886.86,878.7,-0.47%
2021년 10월 20일,883.49,878.54,884.59,877.78,0.65%
2021년 10월 19일,877.82,878.93,882.09,877.85,-0.07%
2021년 10월 18일,878.43,877.65,880.56,875.51,0.11%
2021년 10월 15일,877.45,876.72,879.07,875.95,0.14%
2021년 10월 14일,876.22,875.79,881.4,874.88,0.12%
2021년 10월 13일,875.16,880.49,881.23,874.39,-0.54%
2021년 10월 12일,879.89,879.12,884.73,877.8,0.14%
2021년 10월 11일,878.67,875.37,881.66,872.66,0.49%
2021년 10월 08일,874.37,871.34,875.33,870.66,0.41%
2021년 10월 07일,870.77,865.99,871.77,865.47,0.61%
2021년 10월 06일,865.52,865.07,868.7,863.75,0.05%
2021년 10월 05일,865.06,862.88,866.19,861.52,0.34%
2021년 10월 04일,862.16,857.82,864.24,856.52,0.67%
2021년 10월 01일,856.46,856,860.28,853.84,0.09%
2021년 09월 30일,855.72,852.6,857.88,851.45,0.47%
2021년 09월 29일,851.75,859.33,861.46,851.76,-0.85%
2021년 09월 28일,859.03,858.58,865.1,856.61,0.10%
2021년 09월 27일,858.13,856.71,860.17,854.62,0.20%
2021년 09월 24일,856.45,857.28,859.73,853.83,-0.05%
2021년 09월 23일,856.89,856.47,858.77,851.51,0.08%
2021년 09월 22일,856.18,856.33,863.77,855.59,0.01%
2021년 09월 21일,856.12,860.52,862.86,856.29,-0.41%
2021년 09월 20일,859.61,859.28,863.02,856.66,0.21%
2021년 09월 17일,857.77,856.84,862.57,855.25,0.14%
2021년 09월 16일,856.6,855.54,860.05,853.54,0.15%
