날짜,종가,오픈,고가,저가,거래량,변동 %
2019-01-02,"2,745.40","2,745.40","2,745.40","2,745.40",-,-1.99%
2019-01-03,"2,730.10","2,730.10","2,730.10","2,730.10",-,-0.56%
2019-01-04,"2,796.90","2,796.90","2,796.90","2,796.90",-,2.45%
2019-01-07,"2,811.80","2,811.80","2,811.80","2,811.80",-,0.53%
2019-01-08,"2,802.00","2,802.00","2,802.00","2,802.00",-,-0.35%
2019-01-09,"2,813.10","2,813.10","2,813.10","2,813.10",-,0.40%
2019-01-10,"2,810.10","2,810.10","2,810.10","2,810.10",-,-0.11%
2019-01-11,"2,814.10","2,814.10","2,814.10","2,814.10",-,0.14%
2019-01-14,"2,797.10","2,797.10","2,797.10","2,797.10",-,-0.60%
2019-01-15,"2,810.90","2,810.90","2,810.90","2,810.90",-,0.49%
2019-01-16,"2,831.40","2,831.40","2,831.40","2,831.40",-,0.73%
2019-01-17,"2,842.00","2,842.00","2,842.00","2,842.00",-,0.37%
2019-01-18,"2,873.20","2,873.20","2,873.20","2,873.20",-,1.10%
2019-01-21,"2,850.00","2,850.00","2,850.00","2,850.00",-,-0.81%
2019-01-22,"2,843.50","2,843.50","2,843.50","2,843.50",-,-0.23%
2019-01-23,"2,865.00","2,865.00","2,865.00","2,865.00",-,0.76%
2019-01-24,"2,859.50","2,859.50","2,859.50","2,859.50",-,-0.19%
2019-01-25,"2,909.70","2,909.70","2,909.70","2,909.70",-,1.76%
2019-01-28,"2,873.90","2,873.90","2,873.90","2,873.90",-,-1.23%
2019-01-29,"2,896.00","2,896.00","2,896.00","2,896.00",-,0.77%
2019-01-30,"2,931.70","2,931.70","2,931.70","2,931.70",-,1.23%
2019-01-31,"2,948.00","2,948.00","2,948.00","2,948.00",-,0.56%
2019-02-01,"2,940.70","2,940.70","2,940.70","2,940.70",-,-0.25%
2019-02-04,"2,971.30","2,971.30","2,971.30","2,971.30",-,1.04%
2019-02-05,"2,975.80","2,975.80","2,975.80","2,975.80",-,0.15%
2019-02-06,"2,975.80","2,975.80","2,975.80","2,975.80",-,0.00%
2019-02-07,"2,965.30","2,965.30","2,965.30","2,965.30",-,-0.35%
2019-02-08,"2,942.90","2,942.90","2,942.90","2,942.90",-,-0.76%
2019-02-11,"2,917.40","2,917.40","2,917.40","2,917.40",-,-0.87%
2019-02-12,"2,891.70","2,891.70","2,891.70","2,891.70",-,-0.88%
2019-02-13,"2,896.60","2,896.60","2,896.60","2,896.60",-,0.17%
2019-02-14,"2,894.30","2,894.30","2,894.30","2,894.30",-,-0.08%
2019-02-15,"2,924.80","2,924.80","2,924.80","2,924.80",-,1.05%
2019-02-18,"2,943.80","2,943.80","2,943.80","2,943.80",-,0.65%
2019-02-19,"2,959.20","2,959.20","2,959.20","2,959.20",-,0.52%
2019-02-20,"2,996.20","2,996.20","2,996.20","2,996.20",-,1.25%
2019-02-21,"3,002.80","3,002.80","3,002.80","3,002.80",-,0.22%
2019-02-22,"3,038.30","3,038.30","3,038.30","3,038.30",-,1.18%
2019-02-25,"3,037.50","3,037.50","3,037.50","3,037.50",-,-0.03%
2019-02-26,"3,042.90","3,042.90","3,042.90","3,042.90",-,0.18%
2019-02-27,"3,055.20","3,055.20","3,055.20","3,055.20",-,0.40%
2019-02-28,"3,058.00","3,058.00","3,058.00","3,058.00",-,0.09%
2019-03-01,"3,055.10","3,055.10","3,055.10","3,055.10",-,-0.09%
2019-03-04,"3,015.30","3,015.30","3,015.30","3,015.30",-,-1.30%
2019-03-05,"3,041.70","3,041.70","3,041.70","3,041.70",-,0.88%
2019-03-06,"3,032.50","3,032.50","3,032.50","3,032.50",-,-0.30%
2019-03-07,"3,009.90","3,009.90","3,009.90","3,009.90",-,-0.75%
2019-03-08,"2,998.40","2,998.40","2,998.40","2,998.40",-,-0.38%
2019-03-11,"2,990.00","2,990.00","2,990.00","2,990.00",-,-0.28%
2019-03-12,"3,033.80","3,033.80","3,033.80","3,033.80",-,1.46%
2019-03-13,"3,049.70","3,049.70","3,049.70","3,049.70",-,0.52%
2019-03-14,"3,023.20","3,023.20","3,023.20","3,023.20",-,-0.87%
2019-03-15,"3,020.10","3,020.10","3,020.10","3,020.10",-,-0.10%
2019-03-18,"3,026.60","3,026.60","3,026.60","3,026.60",-,0.22%
2019-03-19,"3,050.40","3,050.40","3,050.40","3,050.40",-,0.79%
2019-03-20,"3,056.40","3,056.40","3,056.40","3,056.40",-,0.20%
2019-03-21,"3,027.30","3,027.30","3,027.30","3,027.30",-,-0.95%
2019-03-22,"2,998.50","2,998.50","2,998.50","2,998.50",-,-0.95%
