날짜,종가,오픈,고가,저가,변동 %
2021년 12월 31일,0.9595,0.957,0.968,0.943,0.26%
2021년 12월 30일,0.957,0.987,0.989,0.952,-2.99%
2021년 12월 29일,0.9865,0.976,0.997,0.96,0.82%
2021년 12월 28일,0.9785,0.984,0.989,0.968,-0.28%
2021년 12월 27일,0.9812,0.968,0.995,0.968,1.38%
2021년 12월 26일,0.9678,0.9705,0.9705,0.9652,-0.29%
2021년 12월 23일,0.9706,0.952,0.973,0.947,2.54%
2021년 12월 22일,0.9466,0.939,0.968,0.936,-0.01%
2021년 12월 21일,0.9467,0.904,0.965,0.896,3.48%
2021년 12월 20일,0.9149,0.896,0.915,0.859,2.37%
2021년 12월 19일,0.8937,0.8964,0.8964,0.8937,-3.16%
2021년 12월 17일,0.9229,0.913,0.939,0.88,2.33%
2021년 12월 16일,0.9019,0.984,1,0.899,-7.60%
2021년 12월 15일,0.9761,0.976,1.037,0.947,-0.01%
2021년 12월 14일,0.9762,0.96,0.989,0.95,3.08%
2021년 12월 13일,0.947,0.992,1.008,0.947,-4.80%
2021년 12월 12일,0.9947,0.9867,0.9947,0.9867,1.34%
2021년 12월 10일,0.9815,1.016,1.053,0.958,-3.14%
2021년 12월 09일,1.0133,1.003,1.021,0.979,0.54%
2021년 12월 08일,1.0079,1.029,1.138,0.971,4.29%
2021년 12월 07일,0.9664,0.904,0.969,0.898,6.93%
2021년 12월 06일,0.9038,0.877,0.912,0.869,3.09%
2021년 12월 05일,0.8767,0.8794,0.8794,0.8767,2.20%
2021년 12월 03일,0.8578,0.884,0.931,0.839,-3.60%
2021년 12월 02일,0.8898,0.839,0.914,0.833,8.91%
2021년 12월 01일,0.817,0.876,0.914,0.814,-3.18%
2021년 11월 30일,0.8438,0.798,0.876,0.729,6.43%
2021년 11월 29일,0.7928,0.846,0.871,0.782,-6.62%
2021년 11월 28일,0.849,0.8571,0.8571,0.849,4.62%
2021년 11월 26일,0.8115,0.932,0.934,0.779,-12.91%
2021년 11월 25일,0.9318,0.9345,0.9372,0.9318,-3.61%
2021년 11월 24일,0.9667,0.945,0.98,0.902,2.03%
2021년 11월 23일,0.9475,0.942,0.974,0.923,-0.26%
2021년 11월 22일,0.95,0.875,0.953,0.867,8.24%
2021년 11월 21일,0.8777,0.8831,0.8831,0.8777,1.86%
2021년 11월 19일,0.8617,0.848,0.867,0.782,2.24%
2021년 11월 18일,0.8428,0.851,0.864,0.827,-0.31%
2021년 11월 17일,0.8454,0.877,0.885,0.843,-3.04%
2021년 11월 16일,0.8719,0.872,0.896,0.845,0.32%
2021년 11월 15일,0.8691,0.853,0.877,0.827,1.88%
2021년 11월 14일,0.8531,0.8557,0.8557,0.8531,0.32%
2021년 11월 12일,0.8504,0.874,0.885,0.835,-3.02%
2021년 11월 11일,0.8769,0.8822,0.8822,0.8769,3.12%
2021년 11월 10일,0.8504,0.732,0.856,0.729,16.67%
2021년 11월 09일,0.7289,0.758,0.758,0.708,0.94%
2021년 11월 08일,0.7221,0.657,0.73,0.657,9.41%
2021년 11월 07일,0.66,0.6573,0.66,0.6573,0.41%
2021년 11월 05일,0.6573,0.703,0.733,0.644,-4.67%
2021년 11월 04일,0.6895,0.754,0.762,0.66,-8.88%
2021년 11월 03일,0.7567,0.722,0.881,0.708,6.05%
2021년 11월 02일,0.7135,0.773,0.778,0.708,-6.67%
2021년 11월 01일,0.7645,0.783,0.799,0.762,-2.71%
2021년 10월 31일,0.7858,0.7805,0.7858,0.7805,3.90%
2021년 10월 29일,0.7563,0.748,0.832,0.729,-1.01%
2021년 10월 28일,0.764,0.772,0.831,0.734,-1.02%
2021년 10월 27일,0.7719,0.761,0.823,0.748,1.43%
2021년 10월 26일,0.761,0.75,0.78,0.745,1.79%
2021년 10월 25일,0.7476,0.78,0.785,0.737,-4.09%
2021년 10월 24일,0.7795,0.7768,0.7795,0.7768,0.68%
2021년 10월 22일,0.7742,0.787,0.822,0.769,-2.30%
2021년 10월 21일,0.7924,0.723,0.798,0.713,10.39%
2021년 10월 20일,0.7178,0.734,0.744,0.689,-0.35%
2021년 10월 19일,0.7203,0.728,0.728,0.694,-1.45%
2021년 10월 18일,0.7309,0.715,0.763,0.71,2.63%
2021년 10월 17일,0.7122,0.7202,0.7202,0.7122,2.67%
2021년 10월 15일,0.6937,0.636,0.699,0.636,8.26%
2021년 10월 14일,0.6408,0.659,0.675,0.622,-2.02%
2021년 10월 13일,0.654,0.633,0.701,0.628,8.17%
2021년 10월 12일,0.6046,0.621,0.626,0.594,-3.00%
2021년 10월 11일,0.6233,0.6233,0.6233,0.6233,7.47%
2021년 10월 08일,0.58,0.566,0.585,0.545,3.02%
2021년 10월 07일,0.563,0.539,0.563,0.533,5.06%
2021년 10월 06일,0.5359,0.522,0.544,0.522,3.66%
2021년 10월 05일,0.517,0.506,0.528,0.501,3.23%
2021년 10월 04일,0.5008,0.479,0.512,0.479,3.92%
2021년 10월 03일,0.4819,0.4819,0.4819,0.4819,-0.56%
2021년 10월 01일,0.4846,0.519,0.522,0.485,-5.65%
2021년 09월 30일,0.5136,0.524,0.548,0.511,-2.52%
2021년 09월 29일,0.5269,0.559,0.559,0.527,-5.25%
2021년 09월 28일,0.5561,0.553,0.58,0.545,0.04%
2021년 09월 27일,0.5559,0.543,0.567,0.529,1.98%
2021년 09월 26일,0.5451,0.5425,0.5451,0.5425,0.48%
2021년 09월 24일,0.5425,0.531,0.548,0.513,1.08%
2021년 09월 23일,0.5367,0.491,0.537,0.491,9.80%
2021년 09월 22일,0.4888,0.449,0.502,0.449,6.98%
2021년 09월 21일,0.4569,0.462,0.47,0.441,0.02%
2021년 09월 20일,0.4568,0.473,0.491,0.449,-2.79%
2021년 09월 19일,0.4699,0.4699,0.4699,0.4699,0.00%
2021년 09월 17일,0.4699,0.459,0.483,0.457,2.33%
2021년 09월 16일,0.4592,0.438,0.462,0.438,4.84%
2021년 09월 15일,0.438,0.435,0.446,0.43,1.22%
2021년 09월 14일,0.4327,0.443,0.454,0.42,-1.79%
2021년 09월 13일,0.4406,0.446,0.454,0.435,-1.76%
2021년 09월 12일,0.4485,0.4485,0.4485,0.4485,0.61%
2021년 09월 10일,0.4458,0.435,0.454,0.435,1.78%
2021년 09월 09일,0.438,0.449,0.451,0.428,-1.17%
2021년 09월 08일,0.4432,0.451,0.451,0.438,3.41%
2021년 09월 07일,0.4286,0.404,0.429,0.404,5.98%
