날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,"1,828.60","1,817.00","1,831.40","1,815.40",106.60K,0.80%
2021년 12월 30일,"1,814.10","1,805.60","1,818.10","1,796.20",113.43K,0.46%
2021년 12월 29일,"1,805.80","1,806.60","1,808.00","1,789.10",138.69K,-0.28%
2021년 12월 28일,"1,810.90","1,812.10","1,821.60","1,805.50",100.54K,0.12%
2021년 12월 27일,"1,808.80","1,810.20","1,814.60","1,803.60",84.23K,-0.07%
2021년 12월 24일,"1,810.10","1,810.10","1,810.10","1,810.10",-,-0.09%
2021년 12월 23일,"1,811.70","1,805.60","1,812.00","1,799.00",104.84K,0.53%
2021년 12월 22일,"1,802.20","1,789.40","1,806.30","1,785.80",110.41K,0.75%
2021년 12월 21일,"1,788.70","1,791.40","1,801.70","1,785.00",134.15K,-0.33%
2021년 12월 20일,"1,794.60","1,800.20","1,804.60","1,789.00",105.39K,-0.57%
2021년 12월 17일,"1,804.90","1,801.50","1,815.70","1,796.50",156.61K,0.37%
2021년 12월 16일,"1,798.20","1,777.90","1,800.70","1,775.70",167.78K,1.91%
2021년 12월 15일,"1,764.50","1,771.90","1,781.30","1,753.00",161.10K,-0.44%
2021년 12월 14일,"1,772.30","1,787.60","1,789.80","1,766.10",153.25K,-0.89%
2021년 12월 13일,"1,788.30","1,784.20","1,792.80","1,782.20",106.06K,0.20%
2021년 12월 10일,"1,784.80","1,776.30","1,791.00","1,770.40",142.00K,0.46%
2021년 12월 09일,"1,776.70","1,784.30","1,788.40","1,773.30",123.97K,-0.49%
2021년 12월 08일,"1,785.50","1,785.10","1,794.30","1,780.10",109.69K,0.04%
2021년 12월 07일,"1,784.70","1,779.50","1,789.30","1,772.40",129.89K,0.29%
2021년 12월 06일,"1,779.50","1,787.70","1,789.00","1,776.40",104.48K,-0.25%
2021년 12월 03일,"1,783.90","1,769.40","1,788.00","1,766.00",175.18K,1.20%
2021년 12월 02일,"1,762.70","1,783.80","1,785.20","1,762.20",172.72K,-1.21%
2021년 12월 01일,"1,784.30","1,777.40","1,795.70","1,773.70",180.34K,0.44%
2021년 11월 30일,"1,776.50","1,786.90","1,811.40","1,771.20",242.86K,-0.49%
2021년 11월 29일,"1,785.20","1,795.20","1,801.50","1,782.00",151.37K,-0.16%
2021년 11월 26일,"1,788.10","1,792.30","1,819.30","1,781.60",180.64K,-0.24%
2021년 11월 25일,"1,792.40","1,789.80","1,795.30","1,787.75",-,0.31%
2021년 11월 24일,"1,786.90","1,792.30","1,798.80","1,780.20",103.43K,0.03%
2021년 11월 23일,"1,786.30","1,808.70","1,815.20","1,784.30",150.81K,-1.26%
2021년 11월 22일,"1,809.10","1,850.70","1,853.00","1,805.30",140.29K,-2.44%
2021년 11월 19일,"1,854.30","1,863.80","1,870.50","1,847.00",62.34K,-0.52%
2021년 11월 18일,"1,864.00","1,871.70","1,875.90","1,859.40",50.58K,-0.47%
