날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,"15,645.00","15,722.90","15,777.40","15,643.90",729.41M,-0.61%
2021년 12월 30일,"15,741.60","15,759.00","15,868.10","15,729.20",768.18M,-0.16%
2021년 12월 29일,"15,766.20","15,794.90","15,821.80","15,679.90",699.59M,-0.10%
2021년 12월 28일,"15,781.70","15,895.20","15,901.50","15,757.10",691.47M,-0.56%
2021년 12월 27일,"15,871.30","15,696.80","15,871.40","15,696.80",741.10M,1.39%
2021년 12월 23일,"15,653.40","15,544.80","15,698.00","15,528.90",746.13M,0.85%
2021년 12월 22일,"15,521.90","15,319.20","15,526.00","15,303.10",783.47M,1.18%
2021년 12월 21일,"15,341.10","15,140.40","15,349.10","15,015.00",976.83M,2.40%
2021년 12월 20일,"14,980.90","14,933.00","15,007.30","14,860.00",1.02B,-1.24%
2021년 12월 17일,"15,169.70","15,036.80","15,288.80","14,960.40",3.01B,-0.07%
2021년 12월 16일,"15,180.40","15,629.10","15,633.20","15,119.50",1.10B,-2.47%
2021년 12월 15일,"15,565.60","15,230.70","15,575.80","15,055.20",1.17B,2.15%
2021년 12월 14일,"15,237.60","15,216.00","15,317.60","15,097.40",1.03B,-1.14%
2021년 12월 13일,"15,413.30","15,621.30","15,637.10","15,408.20",996.25M,-1.39%
2021년 12월 10일,"15,630.60","15,629.60","15,677.60","15,477.90",875.08M,0.73%
2021년 12월 09일,"15,517.40","15,720.50","15,796.10","15,511.10",869.50M,-1.71%
2021년 12월 08일,"15,787.00","15,690.70","15,792.60","15,618.90",921.93M,0.64%
2021년 12월 07일,"15,686.90","15,510.90","15,720.10","15,507.70",1.06B,3.03%
2021년 12월 06일,"15,225.20","15,117.60","15,282.00","14,931.60",1.07B,0.93%
2021년 12월 03일,"15,085.50","15,428.70","15,470.40","14,931.10",1.20B,-1.92%
2021년 12월 02일,"15,381.30","15,181.80","15,444.50","15,150.10",1.10B,0.83%
2021년 12월 01일,"15,254.10","15,752.30","15,816.80","15,243.90",1.22B,-1.83%
2021년 11월 30일,"15,537.70","15,716.50","15,828.20","15,451.40",1.78B,-1.55%
2021년 11월 29일,"15,782.80","15,719.40","15,833.10","15,644.60",1.01B,1.88%
2021년 11월 26일,"15,491.70","15,664.40","15,731.50","15,456.10",781.49M,-2.23%
2021년 11월 24일,"15,845.20","15,677.90","15,848.60","15,591.40",842.33M,0.44%
2021년 11월 23일,"15,775.10","15,809.50","15,895.90","15,601.50",1.07B,-0.50%
2021년 11월 22일,"15,854.80","16,120.90","16,212.20","15,851.00",1.13B,-1.26%
2021년 11월 19일,"16,057.40","16,042.20","16,121.10","16,017.20",1.02B,0.40%
2021년 11월 18일,"15,993.70","15,973.40","16,010.90","15,848.80",1.08B,0.45%
2021년 11월 17일,"15,921.60","15,973.60","15,998.60","15,909.40",966.81M,-0.33%
2021년 11월 16일,"15,973.90","15,840.30","15,989.60","15,825.00",1.01B,0.76%
2021년 11월 15일,"15,853.80","15,894.80","15,918.50","15,778.30",952.14M,-0.04%
2021년 11월 12일,"15,861.00","15,752.60","15,874.60","15,705.40",988.93M,1.00%
2021년 11월 11일,"15,704.30","15,752.10","15,768.00","15,695.80",867.11M,0.52%
2021년 11월 10일,"15,622.70","15,753.80","15,867.20","15,543.70",989.63M,-1.66%
2021년 11월 09일,"15,886.50","16,024.10","16,035.20","15,836.70",1.03B,-0.60%
2021년 11월 08일,"15,982.40","15,995.70","16,038.20","15,961.80",1.06B,0.07%
2021년 11월 05일,"15,971.60","16,003.60","16,053.40","15,900.80",1.06B,0.20%
2021년 11월 04일,"15,940.30","15,849.70","15,966.10","15,827.70",1.02B,0.81%
2021년 11월 03일,"15,811.60","15,658.50","15,821.60","15,616.40",1.00B,1.04%
2021년 11월 02일,"15,649.60","15,584.00","15,656.60","15,569.30",997.88M,0.34%
2021년 11월 01일,"15,595.90","15,541.30","15,598.90","15,470.80",1.00B,0.63%
2021년 10월 29일,"15,498.40","15,323.30","15,504.10","15,323.30",1.06B,0.33%
2021년 10월 28일,"15,448.10","15,304.70","15,452.30","15,290.30",1.06B,1.39%
2021년 10월 27일,"15,235.80","15,276.00","15,364.50","15,235.80",1.09B,0.00%
2021년 10월 26일,"15,235.70","15,317.50","15,384.00","15,198.20",1.22B,0.06%
2021년 10월 25일,"15,226.70","15,142.90","15,259.60","15,070.80",1.09B,0.90%
2021년 10월 22일,"15,090.20","15,158.10","15,193.00","15,021.00",1.10B,-0.82%
2021년 10월 21일,"15,215.70","15,104.80","15,222.30","15,094.10",891.24M,0.62%
2021년 10월 20일,"15,121.70","15,160.00","15,178.40","15,071.20",743.43M,-0.05%
2021년 10월 19일,"15,129.10","15,073.10","15,137.90","15,049.70",788.58M,0.71%
2021년 10월 18일,"15,021.80","14,839.70","15,026.70","14,833.30",798.37M,0.84%
2021년 10월 15일,"14,897.30","14,891.20","14,905.00","14,848.00",924.17M,0.50%
2021년 10월 14일,"14,823.40","14,717.50","14,827.60","14,699.50",815.46M,1.73%
2021년 10월 13일,"14,571.60","14,537.20","14,589.30","14,471.90",760.21M,0.73%
2021년 10월 12일,"14,465.90","14,539.10","14,552.70","14,441.60",768.40M,-0.14%
2021년 10월 11일,"14,486.20","14,540.10","14,666.00","14,482.60",664.49M,-0.64%
2021년 10월 08일,"14,579.50","14,694.70","14,699.90","14,569.70",670.94M,-0.51%
2021년 10월 07일,"14,654.00","14,631.80","14,755.70","14,615.10",798.16M,1.05%
2021년 10월 06일,"14,501.90","14,289.40","14,509.50","14,259.10",817.53M,0.47%
2021년 10월 05일,"14,433.80","14,312.90","14,508.60","14,299.80",805.23M,1.25%
2021년 10월 04일,"14,255.50","14,493.10","14,499.70","14,181.70",920.43M,-2.14%
2021년 10월 01일,"14,566.70","14,494.90","14,606.80","14,324.00",913.08M,0.82%
2021년 09월 30일,"14,448.60","14,582.60","14,632.40","14,444.30",1.14B,-0.44%
2021년 09월 29일,"14,512.40","14,614.90","14,676.60","14,493.70",980.97M,-0.24%
2021년 09월 28일,"14,546.70","14,787.20","14,817.70","14,539.90",996.26M,-2.83%
2021년 09월 27일,"14,970.00","14,954.20","15,003.20","14,865.00",894.61M,-0.52%
2021년 09월 24일,"15,047.70","14,961.60","15,067.60","14,946.60",773.44M,-0.03%
2021년 09월 23일,"15,052.20","14,960.00","15,085.40","14,932.50",788.23M,1.04%
2021년 09월 22일,"14,896.80","14,800.60","14,950.10","14,767.00",831.12M,1.02%
2021년 09월 21일,"14,746.40","14,803.40","14,847.00","14,696.50",873.64M,0.22%
2021년 09월 20일,"14,713.90","14,758.10","14,841.80","14,530.10",1.10B,-2.19%
2021년 09월 17일,"15,044.00","15,163.40","15,166.60","14,998.70",2.75B,-0.91%
2021년 09월 16일,"15,181.90","15,120.10","15,205.50","15,047.10",833.07M,0.13%
2021년 09월 15일,"15,161.50","15,071.30","15,174.40","14,984.70",987.75M,0.82%
2021년 09월 14일,"15,037.80","15,168.40","15,181.20","15,008.30",884.51M,-0.45%
2021년 09월 13일,"15,105.60","15,211.40","15,215.40","15,030.90",943.77M,-0.07%
2021년 09월 10일,"15,115.50","15,332.90","15,349.50","15,111.30",889.08M,-0.87%
2021년 09월 09일,"15,248.30","15,296.10","15,352.40","15,245.20",793.92M,-0.25%
2021년 09월 08일,"15,286.60","15,360.30","15,360.30","15,206.60",799.13M,-0.57%
2021년 09월 07일,"15,374.30","15,376.00","15,403.40","15,343.30",813.76M,0.07%
2021년 09월 03일,"15,363.50","15,313.40","15,375.60","15,283.70",713.30M,0.21%
2021년 09월 02일,"15,331.20","15,358.50","15,380.10","15,285.30",771.82M,0.14%
2021년 09월 01일,"15,309.40","15,309.00","15,379.50","15,302.10",836.30M,0.33%
2021년 08월 31일,"15,259.20","15,262.90","15,279.00","15,202.70",981.94M,-0.04%
2021년 08월 30일,"15,265.90","15,165.90","15,288.10","15,165.10",807.58M,0.90%
2021년 08월 27일,"15,129.50","14,969.80","15,144.50","14,966.50",857.20M,1.23%
2021년 08월 26일,"14,945.80","15,025.20","15,059.60","14,939.60",698.67M,-0.64%
2021년 08월 25일,"15,041.90","15,039.00","15,059.40","15,011.60",760.11M,0.15%
2021년 08월 24일,"15,019.80","14,978.10","15,034.90","14,965.50",737.23M,0.52%
2021년 08월 23일,"14,942.70","14,777.00","14,963.50","14,777.00",782.67M,1.55%
2021년 08월 20일,"14,714.70","14,571.50","14,722.20","14,571.50",828.73M,1.19%
2021년 08월 19일,"14,541.80","14,423.20","14,610.80","14,423.20",841.84M,0.11%
2021년 08월 18일,"14,525.90","14,636.20","14,697.30","14,516.30",764.92M,-0.89%
2021년 08월 17일,"14,656.20","14,670.60","14,716.90","14,550.90",797.61M,-0.93%
2021년 08월 16일,"14,793.80","14,771.50","14,794.70","14,610.00",774.04M,-0.20%
2021년 08월 13일,"14,822.90","14,825.10","14,850.60","14,797.20",774.68M,0.04%
2021년 08월 12일,"14,816.30","14,751.40","14,824.30","14,698.90",783.88M,0.35%
2021년 08월 11일,"14,765.10","14,834.40","14,842.50","14,692.40",787.41M,-0.16%
2021년 08월 10일,"14,788.10","14,887.70","14,894.60","14,754.50",781.07M,-0.49%
2021년 08월 09일,"14,860.20","14,855.80","14,883.80","14,802.70",801.12M,0.16%
2021년 08월 06일,"14,835.80","14,864.20","14,890.20","14,788.60",817.60M,-0.40%
2021년 08월 05일,"14,895.10","14,794.10","14,896.50","14,776.00",842.72M,0.78%
2021년 08월 04일,"14,780.50","14,747.20","14,812.40","14,734.10",875.56M,0.13%
2021년 08월 03일,"14,761.30","14,714.00","14,762.60","14,584.10",831.95M,0.55%
2021년 08월 02일,"14,681.10","14,758.60","14,770.40","14,665.70",752.76M,0.06%
2021년 07월 30일,"14,672.70","14,615.90","14,728.80","14,615.90",788.21M,-0.71%
2021년 07월 29일,"14,778.30","14,771.20","14,833.70","14,761.40",760.01M,0.11%
2021년 07월 28일,"14,762.60","14,715.70","14,798.90","14,645.60",839.14M,0.70%
2021년 07월 27일,"14,660.60","14,807.90","14,811.10","14,503.80",885.24M,-1.21%
2021년 07월 26일,"14,840.70","14,821.00","14,863.60","14,790.50",850.81M,0.03%
2021년 07월 23일,"14,837.00","14,753.10","14,846.10","14,698.80",758.41M,1.04%
2021년 07월 22일,"14,684.60","14,652.70","14,694.20","14,617.90",712.06M,0.36%
2021년 07월 21일,"14,632.00","14,508.70","14,633.10","14,498.70",801.83M,0.92%
2021년 07월 20일,"14,498.90","14,330.50","14,555.70","14,271.20",1.03B,1.57%
2021년 07월 19일,"14,275.00","14,236.00","14,313.60","14,178.70",916.44M,-1.06%
2021년 07월 16일,"14,427.20","14,597.50","14,623.00","14,413.30",811.42M,-0.80%
2021년 07월 15일,"14,543.10","14,635.80","14,650.40","14,451.80",832.92M,-0.70%
2021년 07월 14일,"14,645.00","14,780.90","14,790.50","14,632.90",862.70M,-0.22%
2021년 07월 13일,"14,677.70","14,715.10","14,803.70","14,660.20",805.39M,-0.38%
2021년 07월 12일,"14,733.20","14,743.90","14,761.10","14,672.60",753.86M,0.21%
2021년 07월 09일,"14,701.90","14,578.40","14,710.20","14,552.30",756.93M,0.98%
2021년 07월 08일,"14,559.80","14,409.20","14,610.10","14,371.60",920.12M,-0.72%
