날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,4.4595,4.3918,4.474,4.3822,-,1.53%
2021년 12월 30일,4.3925,4.4143,4.4352,4.3797,-,-0.22%
2021년 12월 29일,4.402,4.412,4.4135,4.412,0.33K,-0.41%
2021년 12월 28일,4.42,4.458,4.468,4.439,0.54K,-1.01%
2021년 12월 27일,4.465,4.376,4.459,4.374,0.42K,1.36%
2021년 12월 24일,4.405,4.405,4.405,4.405,-,0.41%
2021년 12월 23일,4.387,4.4005,4.4005,4.35,0.88K,-0.06%
2021년 12월 22일,4.3895,4.3455,4.385,4.345,1.03K,1.19%
2021년 12월 21일,4.338,4.309,4.344,4.3045,0.76K,1.17%
2021년 12월 20일,4.288,4.2695,4.297,4.2335,0.49K,-0.07%
2021년 12월 17일,4.291,4.3035,4.3215,4.2715,0.55K,-0.22%
2021년 12월 16일,4.3005,4.251,4.315,4.231,0.69K,2.90%
2021년 12월 15일,4.1795,4.26,4.27,4.129,1.00K,-1.75%
2021년 12월 14일,4.254,4.27,4.295,4.25,0.59K,-0.61%
2021년 12월 13일,4.28,4.3225,4.3245,4.2755,0.50K,-0.07%
2021년 12월 10일,4.283,4.313,4.338,4.28,0.53K,-1.09%
2021년 12월 09일,4.33,4.3735,4.3765,4.3035,0.65K,-1.39%
2021년 12월 08일,4.391,4.339,4.394,4.332,0.95K,1.22%
2021년 12월 07일,4.338,4.3105,4.3835,4.3065,0.89K,0.02%
2021년 12월 06일,4.337,4.295,4.3425,4.2565,0.71K,1.65%
2021년 12월 03일,4.2665,4.2725,4.315,4.2515,0.89K,-0.76%
2021년 12월 02일,4.299,4.2405,4.3085,4.2405,0.83K,1.21%
2021년 12월 01일,4.2475,4.3035,4.345,4.21,1.39K,-0.71%
2021년 11월 30일,4.278,4.357,4.3605,4.249,2.03K,-1.36%
2021년 11월 29일,4.337,4.305,4.375,4.2815,6.01K,1.25%
2021년 11월 26일,4.2835,4.47,4.5005,4.275,51.19K,-3.52%
2021년 11월 25일,4.44,4.47,4.5,4.4165,-,-0.43%
2021년 11월 24일,4.459,4.417,4.491,4.3915,52.29K,0.80%
2021년 11월 23일,4.4235,4.392,4.452,4.3705,48.96K,0.61%
