날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,593.25,595.75,599.25,592.5,69.87K,-0.46%
2021년 12월 30일,596,605.5,606,592.75,122.78K,-1.57%
2021년 12월 29일,605.5,604,610.75,599.5,117.57K,0.12%
2021년 12월 28일,604.75,614.25,617.75,603.75,134.21K,-1.63%
2021년 12월 27일,614.75,608.25,615.5,607,123.21K,1.48%
2021년 12월 24일,605.8,606.75,606.75,605.8,-,0.01%
2021년 12월 23일,605.75,601.5,607,600.5,108.57K,0.54%
2021년 12월 22일,602.5,597.5,606.75,597,154.97K,0.71%
2021년 12월 21일,598.25,591,599,589.5,119.31K,1.23%
2021년 12월 20일,591,595,595.75,587,106.04K,-0.38%
2021년 12월 17일,593.25,591,598.75,589.25,129.57K,0.34%
2021년 12월 16일,591.25,587.5,592,584.5,101.26K,0.94%
2021년 12월 15일,585.75,590,596.5,582,138.52K,-0.51%
2021년 12월 14일,588.75,583.25,591,576.75,0.12K,0.77%
2021년 12월 13일,584.25,587.5,588,580.75,0.93K,-0.72%
2021년 12월 10일,588.5,588.5,592,585,0.86K,0.00%
2021년 12월 09일,588.5,585.75,591.25,576.75,2.08K,0.64%
2021년 12월 08일,584.75,585,589,584,2.37K,-0.26%
2021년 12월 07일,586.25,584,589.5,579.5,1.89K,0.47%
2021년 12월 06일,583.5,586,586,578,2.21K,-0.43%
2021년 12월 03일,586,576.25,588.75,576.25,3.44K,1.56%
2021년 12월 02일,577,571.25,583,570,6.24K,0.87%
2021년 12월 01일,572,568,576,567,6.27K,0.88%
2021년 11월 30일,567,581,582,562,24.99K,-2.41%
2021년 11월 29일,581,586,588.25,576.5,158.23K,-0.98%
2021년 11월 26일,586.75,571.5,588,566.75,180.22K,1.21%
2021년 11월 24일,579.75,580.25,589,575.5,265.93K,-0.13%
2021년 11월 23일,580.5,576.25,581,572.5,179.30K,0.65%
2021년 11월 22일,576.75,570.5,579,569.75,172.30K,1.05%
2021년 11월 19일,570.75,573,576,568,130.52K,-0.39%
2021년 11월 18일,573,575,583,572,171.42K,-0.39%
2021년 11월 17일,575.25,570.75,584,570,185.38K,0.74%
2021년 11월 16일,571,576,577.5,570,137.34K,-0.95%
2021년 11월 15일,576.5,576.25,578.75,569.75,128.06K,-0.13%
2021년 11월 12일,577.25,569.25,582,566.75,163.54K,1.36%
2021년 11월 11일,569.5,567.75,579,566,264.52K,0.04%
2021년 11월 10일,569.25,555.5,571.75,555,209.27K,2.61%
2021년 11월 09일,554.75,551,564,547.75,246.90K,0.59%
2021년 11월 08일,551.5,552,554.75,549.5,166.98K,-0.27%
2021년 11월 05일,553,560,562.75,552.25,192.12K,-1.12%
2021년 11월 04일,559.25,563.75,569.75,556.5,149.48K,-0.84%
2021년 11월 03일,564,572,573.25,563,149.89K,-1.57%
2021년 11월 02일,573,578.25,586,572,174.07K,-1.04%
2021년 11월 01일,579,568,582,565.25,197.41K,1.89%
2021년 10월 29일,568.25,562.5,569.25,558.75,135.20K,0.98%
2021년 10월 28일,562.75,556.5,568.75,554,164.26K,0.99%
2021년 10월 27일,557.25,542.5,563.25,539.5,241.14K,2.53%
2021년 10월 26일,543.5,538,547.25,533,147.00K,1.02%
2021년 10월 25일,538,537,542,535,107.05K,0.00%
2021년 10월 22일,538,533,540,532,109.35K,1.08%
2021년 10월 21일,532.25,539,540,530.75,119.39K,-1.30%
2021년 10월 20일,539.25,530,540,528.5,129.88K,1.70%
2021년 10월 19일,530.25,532,537,529.5,119.08K,-0.47%
2021년 10월 18일,532.75,525.75,533.75,523,119.58K,1.33%
2021년 10월 15일,525.75,516.25,528.5,514.25,130.24K,1.74%
2021년 10월 14일,516.75,512.25,518.25,511,140.34K,0.88%
2021년 10월 13일,512.25,523,525.25,506.75,203.33K,-1.96%
2021년 10월 12일,522.5,532.75,533,519.25,196.60K,-1.97%
2021년 10월 11일,533,530,534,528.75,104.17K,0.47%
2021년 10월 08일,530.5,533.25,538.75,530,95.48K,-0.66%
2021년 10월 07일,534,532.75,535.25,527.5,105.00K,0.33%
2021년 10월 06일,532.25,537,544.75,531.5,126.94K,-0.98%
2021년 10월 05일,537.5,540,543,535.25,119.60K,-0.60%
2021년 10월 04일,540.75,540,547.5,536,132.92K,-0.14%
2021년 10월 01일,541.5,536.75,545.25,532,135.60K,0.88%
2021년 09월 30일,536.75,539,548.5,527.25,222.14K,-0.42%
2021년 09월 29일,539,533.5,541,533.5,107.22K,1.22%
2021년 09월 28일,532.5,538.75,541.75,532,125.83K,-1.30%
2021년 09월 27일,539.5,524.75,540,524,144.95K,2.42%
2021년 09월 24일,526.75,528.5,528.75,524,93.10K,-0.47%
2021년 09월 23일,529.25,524.5,531,520.25,95.99K,0.71%
2021년 09월 22일,525.5,517,526.25,516,112.33K,1.64%
2021년 09월 21일,517,522,522.75,512.75,119.15K,-0.91%
2021년 09월 20일,521.75,527,527,515.25,125.36K,-1.04%
2021년 09월 17일,527.25,529,530.5,521.75,109.53K,-0.42%
