날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 31일,"3,946.20","3,960.50","3,987.50","3,944.80",-,-0.15%
2021년 12월 30일,"3,952.00","3,996.40","4,008.70","3,945.80",-,-1.18%
2021년 12월 29일,"3,999.40","3,995.50","4,024.00","3,979.20",-,0.18%
2021년 12월 28일,"3,992.20","4,052.80","4,055.00","3,977.70",-,-1.17%
2021년 12월 27일,"4,039.50","3,946.00","4,040.60","3,946.00",-,2.72%
2021년 12월 23일,"3,932.40","3,906.80","3,955.50","3,906.80",-,1.04%
2021년 12월 22일,"3,891.90","3,836.50","3,892.80","3,817.20",-,0.90%
2021년 12월 21일,"3,857.30","3,818.60","3,861.80","3,760.10",-,3.35%
2021년 12월 20일,"3,732.40","3,707.40","3,755.40","3,689.40",-,-0.76%
2021년 12월 17일,"3,761.00","3,733.70","3,814.80","3,721.20",-,-0.14%
2021년 12월 16일,"3,766.30","3,961.60","3,962.00","3,748.10",-,-4.27%
2021년 12월 15일,"3,934.50","3,805.40","3,939.90","3,757.30",-,3.69%
2021년 12월 14일,"3,794.40","3,768.10","3,814.60","3,746.40",-,-0.52%
2021년 12월 13일,"3,814.40","3,931.00","3,936.70","3,811.00",-,-2.56%
2021년 12월 10일,"3,914.70","3,952.40","3,968.00","3,871.90",-,0.91%
2021년 12월 09일,"3,879.50","3,936.30","3,981.90","3,877.10",-,-2.14%
2021년 12월 08일,"3,964.40","3,954.30","3,973.40","3,928.20",-,-0.61%
2021년 12월 07일,"3,988.70","3,892.30","4,002.20","3,892.30",-,4.97%
2021년 12월 06일,"3,800.10","3,797.60","3,814.30","3,687.90",-,-0.12%
2021년 12월 03일,"3,804.50","3,874.50","3,902.90","3,762.10",-,-0.16%
2021년 12월 02일,"3,810.80","3,758.20","3,838.60","3,742.50",-,0.00%
2021년 12월 01일,"3,810.70","3,896.10","3,958.70","3,806.30",-,-0.59%
2021년 11월 30일,"3,833.20","3,893.00","3,924.80","3,804.60",-,-1.98%
2021년 11월 29일,"3,910.50","3,827.40","3,914.70","3,806.40",-,4.08%
2021년 11월 26일,"3,757.10","3,799.50","3,833.00","3,735.90",-,-2.92%
2021년 11월 24일,"3,870.00","3,800.10","3,871.60","3,765.70",-,0.93%
2021년 11월 23일,"3,834.40","3,836.70","3,869.90","3,773.40",-,-0.33%
2021년 11월 22일,"3,847.10","3,928.00","3,982.10","3,843.90",-,-1.66%
2021년 11월 19일,"3,912.00","3,895.60","3,937.00","3,879.90",-,0.31%
2021년 11월 18일,"3,900.00","3,904.30","3,916.90","3,861.90",-,1.79%
2021년 11월 17일,"3,831.40","3,851.30","3,856.50","3,813.60",-,-0.72%
2021년 11월 16일,"3,859.40","3,781.90","3,866.70","3,774.10",-,1.73%
2021년 11월 15일,"3,793.80","3,817.10","3,823.60","3,760.10",-,-0.02%
2021년 11월 12일,"3,794.50","3,770.50","3,812.30","3,754.70",-,0.80%
2021년 11월 11일,"3,764.50","3,740.40","3,772.10","3,723.20",-,1.94%
2021년 11월 10일,"3,693.00","3,727.60","3,783.10","3,676.60",-,-2.83%
2021년 11월 09일,"3,800.60","3,830.80","3,838.60","3,767.00",-,-0.07%
2021년 11월 08일,"3,803.30","3,781.10","3,824.30","3,766.50",-,1.25%
2021년 11월 05일,"3,756.60","3,738.90","3,789.60","3,725.30",-,1.10%
2021년 11월 04일,"3,715.80","3,633.10","3,728.10","3,617.10",-,3.50%
2021년 11월 03일,"3,590.20","3,552.70","3,592.80","3,540.00",-,1.16%
2021년 11월 02일,"3,548.90","3,510.30","3,549.80","3,510.30",-,1.21%
2021년 11월 01일,"3,506.30","3,459.60","3,507.60","3,451.70",-,1.59%
2021년 10월 29일,"3,451.30","3,407.50","3,452.80","3,404.20",-,0.36%
2021년 10월 28일,"3,438.80","3,406.30","3,440.60","3,403.00",-,2.34%
2021년 10월 27일,"3,360.30","3,365.10","3,399.10","3,353.80",-,-0.96%
