행정구역별(1),행정구역별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11 p)
행정구역별(1),행정구역별(2),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),잠정 증감률 (%)
전국,소계,100.6,100.2,99.5,99.2,99,99.3,99.7,100,100.3,100.8,101.6,102.5,103.2,104.5,105.3,105.3,106,107.9,110.3,111.6,112.5,113.8,116.3,119.3,122.5,124.8,126.6,128.1,130,132.9,135.7,138.9,141.6,143.5,-0.46
수도권,소계,106.3,105.6,104.9,104.7,104.8,105.7,106.6,107.3,107.9,108.7,109.7,110.8,111.9,114.1,116,115.9,116.9,119.7,123.8,126.1,127.3,128.7,131.2,134.1,138.7,142.4,145.1,147.3,150.4,154.8,159.1,163.9,167.8,169.9,-0.5
지방,소계,95.9,95.7,95.1,94.7,94.3,94,93.9,93.9,94,94.1,94.8,95.6,96,96.5,96.4,96.4,96.9,98,98.9,99.5,100,101.2,103.9,107,108.9,110.2,111.1,112,112.9,114.6,116.2,118,119.9,121.6,-0.39
서울,서울,116.7,115.7,114.6,114.5,115.4,117.7,120,121.5,122.7,124.4,126.4,128.4,129.5,131.1,132.1,130.9,131.4,135.6,142.3,146.9,148.5,149.7,152.2,155.1,159.8,162.6,163,164,166.8,170.6,174,177.2,179.8,180.6,-0.91
서울,도심권,118.9,117.5,118.1,115.6,118.9,120.1,122.6,123.4,125.3,127.5,128.1,130.6,130.9,131.8,132.3,129.5,130.3,134.5,138.3,141.9,143.3,143.9,146.1,149.5,151.5,153.8,153,155.5,158.7,161.4,163.6,168.1,166.6,170.2,5.53
서울,동북권,118.1,117.3,116.7,116.2,116.6,118.3,120.1,121.3,122.3,123.8,125.5,127.5,129.5,132.2,134.2,133.7,134.7,138.6,147.4,153.8,155.4,156.9,159.9,163.1,168.2,172,173.3,174.4,177.1,181.4,185.8,188.3,190.9,191.3,-1.47
서울,동남권,114,112.5,111.1,112.5,114.4,117.8,121.1,123.1,124.9,127,130,133,132.7,132.7,131.5,128.7,129.3,136,142,144.9,146.7,147.1,149.3,152.4,157.4,159.4,159.1,159.9,162.4,166.9,169.5,171.9,176.4,176.4,-1.08
서울,서북권,115.8,115.4,114.3,115.5,116.7,117.7,120.1,121.8,122.5,123.6,125.4,127.3,128.9,130.1,130.4,131.1,131.6,135.1,140.5,144.4,146.8,149,151.8,154.2,158.4,161.8,159.5,162.1,163.3,167.5,170.8,173,177,176.1,-1.36
서울,서남권,116.6,115.7,114.8,114.5,115,117.4,119,120.7,121.6,123.6,125.7,127.5,129,130.9,131.8,130.9,131.5,134.9,140.8,145.3,146.8,147.7,150.1,153.1,157.6,160,161,161.7,165.2,168,170.9,175.9,177.8,179.9,-1.09
